,Address,CSDNAME
0,"london ,ON, Canada",London
1,"sarnia ,ON, Canada",Sarnia
2,"woodstock ,ON, Canada",Woodstock
3,"flesherton ,ON, Canada",Grey Highlands
4,"woodbridge ,ON, Canada",Vaughan
5,"mitchell ,ON, Canada",West Perth
6,"strathroy ,ON, Canada",Strathroy-Caradoc
7,"middlesex ,ON, Canada",Thames Centre
8,"alliston ,ON, Canada",New Tecumseth
9,"burks falls ,ON, Canada",Burk's Falls
10,"amherstburg ,ON, Canada",Amherstburg
11,"ancaster ,ON, Canada",Hamilton
12,"ancaster ,ON, Canada",Hamilton
13,"toronto ,ON, Canada",Toronto
14,"arnprior ,ON, Canada",Arnprior
15,"arthur ,ON, Canada",Wellington North
16,"atikokan ,ON, Canada",Atikokan
17,"aurora ,ON, Canada",Aurora
18,"aylmer ,ON, Canada",Aylmer
19,"ayr ,ON, Canada",North Dumfries
20,"bancroft ,ON, Canada",Bancroft
21,"barrhaven ,ON, Canada",Ottawa
22,"barrie ,ON, Canada",Barrie
23,"barry's bay ,ON, Canada",Madawaska Valley
24,"east york ,ON, Canada",Toronto
25,"parry sound ,ON, Canada",Whitestone
26,"oakville ,ON, Canada",Oakville
27,"belleville ,ON, Canada",Belleville
28,"quinte ,ON, Canada",Belleville
29,"mount forest ,ON, Canada",Wellington North
30,"blenheim ,ON, Canada",Chatham-Kent
31,"blue mountains ,ON, Canada",The Blue Mountains
32,"blyth ,ON, Canada",North Huron
33,"brussels ,ON, Canada",Huron East
34,"bracebridge ,ON, Canada",Bracebridge
35,"bradford ,ON, Canada",Bradford West Gwillimbury
36,"bradford west gwillimbury ,ON, Canada",Bradford West Gwillimbury
37,"brampton ,ON, Canada",Brampton
38,"brantford ,ON, Canada",Brantford
39,"brighton ,ON, Canada",Brighton
40,"warkworth ,ON, Canada",Trent Hills
41,"campbellford ,ON, Canada",Trent Hills
42,"brock ,ON, Canada",Brock
43,"brockville ,ON, Canada",Brockville
44,"tobermory ,ON, Canada",Northern Bruce Peninsula
45,"burford ,ON, Canada",Brant
46,"burlington ,ON, Canada",Burlington
47,"caledon ,ON, Canada",Caledon
48,"cambridge ,ON, Canada",Cambridge
49,"northwest ,ON, Canada",Northeastern Manitoulin and the Islands
50,"milton ,ON, Canada",Milton
51,"kawartha lakes ,ON, Canada",Kawartha Lakes
52,"north durham ,ON, Canada",Ajax
