AdvNewspaper,Removable,ADVCSD,ADVOwner
barrie advance innisfil journal,1,,
brantford your brant connection,1,,
brighton independent northumberland news,1,,
burlington de nederlandse courant,,Burlington,
burlington post flamborough review,1,,
chatham kent this week,,Chatham-Kent,postmedia network inc.
collingwood connection wasaga stayner sun,1,,
dryden observer red lake northern sun news,1,,
dryden the rising sun,,Dryden,
kingston emc,,Kingston,
markham economist sun stouffville sun tribune,1,,
meaford express blue mountains courier herald,1,,
mississauga news full city edition,1,,
newmarket era aurora banner east gwillimbury express,1,,
newmarket era aurora banner georgina advocate,1,,
nunavut news north,1,,
nwt news north,1,,
nwt nunavut news north,1,,
oshawa whitby clarington this week,1,,
oshawa whitby clarington this week port perry star,1,,
oshawa whitby this week,1,,
ottawa community voice south,,Ottawa,
richmond hill liberal,1,,
south bruce independent extra,,South Bruce,
south bruce weekender,,South Bruce,
toronto aaj kaal,,Toronto,
toronto bloor west parkdale liberty villager,,Toronto,
toronto bloor west parkdale neighbourhood voice,,Toronto,
toronto can india news,,Toronto,
toronto caribbean,,Toronto,
toronto city centre mirror,,Toronto,
toronto correio da manha,,Toronto,
toronto correo canadiense,,Toronto,
toronto diversity reporter,,Toronto,
toronto ghanaian news,,Toronto,
toronto kanadai amerikai magyarsag,,Toronto,
toronto nove ilhas,,Toronto,
toronto now,,Toronto,
toronto russian express,,Toronto,
toronto sunday times,,Toronto,
toronto thangatheepam,,Toronto,
toronto today,,Toronto,
toronto urdu khabarnama,,Toronto,
toronto weekly punjabi awaaz,,Toronto,
toronto weekly voice,,Toronto,
toronto zwiazkowiec,,Toronto,
vaughan today,,Vaughan,
central hastings trent hills news,1,,
