,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2633,"london ,ON, Canada",-81.243372,42.9832406,3539036,London,CY,35,Ontario,3539,Middlesex,CTY,3539036,London,3560,London,555,1,555,35555,London,B
2223,"sarnia ,ON, Canada",-82.4065585,42.9746137,3538030,Sarnia,CY,35,Ontario,3538,Lambton,CTY,3538030,Sarnia,3570,Windsor--Sarnia,562,2,562,35562,Sarnia,K
2699,"woodstock ,ON, Canada",-80.7562977,43.1301111,3532042,Woodstock,CY,35,Ontario,3532,Oxford,CTY,3532045,Blandford-Blenheim,3560,London,544,3,544,35544,Woodstock,D
2651,"flesherton ,ON, Canada",-80.5457496,44.2610602,3542015,Grey Highlands,MU,35,Ontario,3542,Grey,CTY,3542015,Grey Highlands,3580,Stratford--Bruce Peninsula,997,5,,,,
2315,"woodbridge ,ON, Canada",-79.5923855,43.7848982,3519028,Vaughan,CY,35,Ontario,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535,35535,Toronto,B
2686,"mitchell ,ON, Canada",-81.197899,43.467942,3531025,West Perth,MU,35,Ontario,3531,Perth,CTY,3531025,West Perth,3580,Stratford--Bruce Peninsula,997,5,,,,
2627,"strathroy ,ON, Canada",-81.59100834,42.966146,3539015,Strathroy-Caradoc,MU,35,Ontario,3539,Middlesex,CTY,3539015,Strathroy-Caradoc,3560,London,555,1,555,35555,London,B
2631,"middlesex ,ON, Canada",-80.9305313,42.9791385,3539027,Thames Centre,MU,35,Ontario,3539,Middlesex,CTY,3539027,Thames Centre,3560,London,555,1,555,35555,London,B
2393,"alliston ,ON, Canada",-79.8692321,44.1539369,3543007,New Tecumseth,T,35,Ontario,3543,Simcoe,CTY,3543007,New Tecumseth,3540,Kitchener--Waterloo--Barrie,535,1,535,35535,Toronto,B
2475,"burks falls ,ON, Canada",-79.4118686,45.619853,3549022,Burk's Falls,VL,35,Ontario,3549,Parry Sound,DIS,3549019,Armour,3590,Northeast / Nord-est,997,5,,,,
2404,"amherstburg ,ON, Canada",-83.1086458,42.1013315,3537028,Amherstburg,T,35,Ontario,3537,Essex,CTY,3537028,Amherstburg,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2503,"ancaster ,ON, Canada",-79.976692,43.225693,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
1829,"toronto ,ON, Canada",-79.3839347,43.6534817,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2342,"arnprior ,ON, Canada",-76.3543692,45.433515,3547002,Arnprior,T,35,Ontario,3547,Renfrew,CTY,3547003,McNab/Braeside,3515,Kingston--Pembroke,507,3,507,35507,Arnprior,D
2535,"arthur ,ON, Canada",-80.5355526,43.8309446,3523050,Wellington North,TP,35,Ontario,3523,Wellington,CTY,3523050,Wellington North,3540,Kitchener--Waterloo--Barrie,997,5,,,,
2917,"atikokan ,ON, Canada",-91.624603,48.762526,3559001,Atikokan,T,35,Ontario,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
