,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
0,"london ,ON, Canada",-81.243372,42.9832406,3539036,London,CY,35,ON,3539,Middlesex,CTY,3539036,London,3560,London,555,1,555.0,35555.0,London,B,3539036.0,35.0,ON,39.0,Middlesex,36.0,London,383822.0,366151.0,4.8,175558.0,163140.0,913.1,420.35,40.5,316315.0,51845.0,88545.0,175920.0,5520.0,80175.0,316315.0,302895.0,32599.0,378040.0,286305.0,83770.0
1,"sarnia ,ON, Canada",-82.4065585,42.9746137,3538030,Sarnia,CY,35,ON,3538,Lambton,CTY,3538030,Sarnia,3570,Windsor--Sarnia,562,2,562.0,35562.0,Sarnia,K,3538030.0,35.0,ON,38.0,Lambton,30.0,Sarnia,71594.0,72366.0,-1.1,33324.0,31937.0,434.3,164.85,43.9,59750.0,9550.0,17810.0,32395.0,775.0,9535.0,59750.0,57580.0,33833.0,70375.0,61010.0,8815.0
2,"woodstock ,ON, Canada",-80.7562977,43.1301111,3532042,Woodstock,CY,35,ON,3532,Oxford,CTY,3532045,Blandford-Blenheim,3560,London,544,3,544.0,35544.0,Woodstock,D,3532042.0,35.0,ON,32.0,Oxford,42.0,Woodstock,40902.0,37754.0,8.3,17530.0,17151.0,835.3,48.97,41.8,33145.0,7810.0,10790.0,14540.0,400.0,3960.0,33140.0,32035.0,35915.0,39980.0,35380.0,4445.0
3,"flesherton ,ON, Canada",-80.5457496,44.2610602,3542015,Grey Highlands,MU,35,ON,3542,Grey,CTY,3542015,Grey Highlands,3580,Stratford--Bruce Peninsula,997,5,,,,,3542015.0,35.0,ON,42.0,Grey,15.0,Grey Highlands,9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0
4,"woodbridge ,ON, Canada",-79.5923855,43.7848982,3519028,Vaughan,CY,35,ON,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519028.0,35.0,ON,19.0,York,28.0,Vaughan,306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
5,"mitchell ,ON, Canada",-81.197899,43.467942,3531025,West Perth,MU,35,ON,3531,Perth,CTY,3531025,West Perth,3580,Stratford--Bruce Peninsula,997,5,,,,,3531025.0,35.0,ON,31.0,Perth,25.0,West Perth,8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0
6,"strathroy ,ON, Canada",-81.59100834,42.966146,3539015,Strathroy-Caradoc,MU,35,ON,3539,Middlesex,CTY,3539015,Strathroy-Caradoc,3560,London,555,1,555.0,35555.0,London,B,3539015.0,35.0,ON,39.0,Middlesex,15.0,Strathroy-Caradoc,20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0
7,"middlesex ,ON, Canada",-80.9305313,42.9791385,3539027,Thames Centre,MU,35,ON,3539,Middlesex,CTY,3539027,Thames Centre,3560,London,555,1,555.0,35555.0,London,B,3539027.0,35.0,ON,39.0,Middlesex,27.0,Thames Centre,13191.0,13000.0,1.5,5162.0,4924.0,30.4,433.99,41.7,10880.0,1840.0,3115.0,5920.0,240.0,1555.0,10880.0,10520.0,42103.0,13180.0,11975.0,1200.0
8,"alliston ,ON, Canada",-79.8692321,44.1539369,3543007,New Tecumseth,T,35,ON,3543,Simcoe,CTY,3543007,New Tecumseth,3540,Kitchener--Waterloo--Barrie,535,1,535.0,35535.0,Toronto,B,3543007.0,35.0,ON,43.0,Simcoe,7.0,New Tecumseth,34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0
9,"burks falls ,ON, Canada",-79.4118686,45.619853,3549022,Burk's Falls,VL,35,ON,3549,Parry Sound,DIS,3549019,Armour,3590,Northeast / Nord-est,997,5,,,,,3549022.0,35.0,ON,49.0,Parry Sound,22.0,Burk's Falls,981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0
10,"amherstburg ,ON, Canada",-83.1086458,42.1013315,3537028,Amherstburg,T,35,ON,3537,Essex,CTY,3537028,Amherstburg,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537028.0,35.0,ON,37.0,Essex,28.0,Amherstburg,21936.0,21556.0,1.8,8951.0,8522.0,118.2,185.61,42.3,18095.0,3015.0,5845.0,9230.0,295.0,2950.0,18090.0,17285.0,39519.0,21655.0,19630.0,1995.0
11,"ancaster ,ON, Canada",-79.976692,43.225693,3525005,Hamilton,C,35,ON,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537.0,35537.0,Hamilton,B,3514019.0,35.0,ON,14.0,Northumberland,19.0,Hamilton,10942.0,10702.0,2.2,4677.0,4276.0,42.7,256.08,44.5,9430.0,1570.0,2730.0,5135.0,165.0,1415.0,9430.0,9120.0,39064.0,10920.0,9900.0,1020.0
12,"ancaster ,ON, Canada",-79.976692,43.225693,3525005,Hamilton,C,35,ON,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537.0,35537.0,Hamilton,B,3525005.0,35.0,ON,25.0,Hamilton,5.0,Hamilton,536917.0,519949.0,3.3,222918.0,211596.0,480.6,1117.29,41.3,441055.0,87875.0,125445.0,227735.0,8155.0,89905.0,441055.0,422255.0,32917.0,527935.0,391335.0,130365.0
13,"toronto ,ON, Canada",-79.3839347,43.6534817,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
14,"arnprior ,ON, Canada",-76.3543692,45.433515,3547002,Arnprior,T,35,ON,3547,Renfrew,CTY,3547003,McNab/Braeside,3515,Kingston--Pembroke,507,3,507.0,35507.0,Arnprior,D,3547002.0,35.0,ON,47.0,Renfrew,2.0,Arnprior,8795.0,8114.0,8.4,4124.0,3912.0,672.7,13.07,45.4,7160.0,1385.0,2290.0,3485.0,125.0,875.0,7160.0,6955.0,33579.0,8515.0,8070.0,435.0
15,"arthur ,ON, Canada",-80.5355526,43.8309446,3523050,Wellington North,TP,35,ON,3523,Wellington,CTY,3523050,Wellington North,3540,Kitchener--Waterloo--Barrie,997,5,,,,,3523050.0,35.0,ON,23.0,Wellington,50.0,Wellington North,11914.0,11477.0,3.8,4839.0,4682.0,22.6,526.21,42.0,9385.0,3115.0,2780.0,3490.0,115.0,755.0,9385.0,9110.0,31859.0,11610.0,10615.0,925.0
16,"atikokan ,ON, Canada",-91.624603,48.762526,3559001,Atikokan,T,35,ON,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3559001.0,35.0,ON,59.0,Rainy River,1.0,Atikokan,2753.0,2787.0,-1.2,1477.0,1305.0,8.6,319.52,46.2,2345.0,545.0,725.0,1080.0,50.0,210.0,2325.0,2265.0,33225.0,2690.0,2580.0,105.0
17,"aurora ,ON, Canada",-79.467545,43.99973,3519046,Aurora,T,35,ON,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519046.0,35.0,ON,19.0,York,46.0,Aurora,55445.0,53203.0,4.2,19381.0,18851.0,1112.3,49.85,39.6,44870.0,5630.0,11335.0,27905.0,1370.0,15660.0,44870.0,42790.0,40382.0,54705.0,37795.0,16510.0
18,"aylmer ,ON, Canada",-80.983658,42.773227,3534011,Aylmer,T,35,ON,3534,Elgin,CTY,3534010,Malahide,3560,London,996,4,,,,,3534011.0,35.0,ON,34.0,Elgin,11.0,Aylmer,7492.0,7151.0,4.8,3031.0,2961.0,1197.6,6.26,40.0,5935.0,2040.0,1790.0,2105.0,35.0,510.0,5940.0,5685.0,27637.0,7425.0,5770.0,1590.0
19,"ayr ,ON, Canada",-80.4507012,43.2855122,3530004,North Dumfries,TP,35,ON,3530,Waterloo,RM,3530004,North Dumfries,3540,Kitchener--Waterloo--Barrie,541,1,541.0,35541.0,Kitchener - Cambridge - Waterloo,B,3530004.0,35.0,ON,30.0,Waterloo,4.0,North Dumfries,10215.0,9334.0,9.4,3564.0,3531.0,54.5,187.43,39.9,8220.0,1385.0,2290.0,4540.0,175.0,1700.0,8220.0,7935.0,45050.0,10125.0,8890.0,1215.0
20,"bancroft ,ON, Canada",-77.8537127,45.0570769,3512061,Bancroft,T,35,ON,3512,Hastings,CTY,3512061,Bancroft,3515,Kingston--Pembroke,997,5,,,,,3512061.0,35.0,ON,12.0,Hastings,61.0,Bancroft,3881.0,3880.0,0.0,1944.0,1750.0,16.9,229.51,48.8,3255.0,1035.0,855.0,1365.0,40.0,320.0,3245.0,3140.0,25040.0,3740.0,3420.0,315.0
21,"barrhaven ,ON, Canada",-75.759707,45.280172,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
