,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
0,812,Wednesday,T,2013,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
1,812,Wednesday,T,2014,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
2,812,Wednesday,T,2015,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
3,812,Wednesday,T,2016,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
4,812,Wednesday,T,2017,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
5,812,Wednesday,T,2018,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
6,812,Wednesday,T,2019,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.33333333334,158757.0,4.0,75470.66666666667,70742.66666666667,727.5666666666666,211.39000000000001,42.06666666666667,136403.33333333334,23068.333333333332,39048.333333333336,74285.0,2231.6666666666665,31223.333333333332,136401.66666666666,130836.66666666667,34115.666666666664,162798.33333333334,127565.0,32343.333333333332
7,0,Wednesday,B,2014,flesherton,advance,dundalk herald publishing,1276,ON,1276,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0
8,0,Wednesday,B,2015,flesherton,advance,dundalk herald publishing,1292,ON,1292,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0
9,0,Wednesday,B,2016,flesherton,advance,dundalk herald publishing,1299,ON,1299,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0
