,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs,first_year,equal_to_previous
1160,48792.0,Thursday,T,2013,nepean&barrhaven,Nepean/Barrhaven News,metroland media group ltd.,0.0,ON,48792.0,metroland media group ltd.,"['nepean ,ON, Canada', 'barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.3446891, -75.7639408), (45.280172, -75.759707)]","['Ottawa', 'Ottawa']",2013,False
1161,50020.0,Thursday,T,2014,nepean&barrhaven,Nepean/Barrhaven News,metroland media group ltd.,,ON,50020.0,metroland media group ltd.,"['nepean ,ON, Canada', 'barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.3446891, -75.7639408), (45.280172, -75.759707)]","['Ottawa', 'Ottawa']",2013,False
1162,51478.0,Thursday,T,2015,nepean&barrhaven,Nepean/Barrhaven News,metroland media group ltd.,,ON,51478.0,metroland media group ltd.,"['nepean ,ON, Canada', 'barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.3446891, -75.7639408), (45.280172, -75.759707)]","['Ottawa', 'Ottawa']",2013,False
1163,52390.0,Thursday,T,2016,nepean&barrhaven,Nepean/Barrhaven News,metroland media group ltd.,,ON,52390.0,metroland media group ltd.,"['nepean ,ON, Canada', 'barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.3446891, -75.7639408), (45.280172, -75.759707)]","['Ottawa', 'Ottawa']",2013,False
1164,52163.0,Thursday,T,2017,nepean&barrhaven,Nepean/Barrhaven News,metroland media group ltd.,,ON,52163.0,metroland media group ltd.,"['nepean ,ON, Canada', 'barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.3446891, -75.7639408), (45.280172, -75.759707)]","['Ottawa', 'Ottawa']",2013,False
2107,72.0,Wednesday,T,2013,st.%20marys,St. Marys journal argus,metroland media group ltd.,1907.0,ON,1979.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
812,,Wednesday,T,2014,st.%20marys,St. Marys journal argus,metroland media group ltd.,1761.0,ON,1833.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
813,86.0,Wednesday,T,2015,st.%20marys,St. Marys journal argus,metroland media group ltd.,1584.0,ON,1670.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
814,110.0,Wednesday,T,2016,st.%20marys,St. Marys journal argus,metroland media group ltd.,1354.0,ON,1464.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
815,100.0,Wednesday,T,2017,st.%20marys,St. Marys journal argus,metroland media group ltd.,1352.0,ON,1452.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
816,6976.0,Thursday,T,2013,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,0.0,ON,6976.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
817,7011.0,Thursday,T,2014,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,7011.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
818,6869.0,Thursday,T,2015,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,6869.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
819,7170.0,Thursday,T,2016,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,7170.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
820,6896.0,Thursday,T,2017,st.%20marys,St. Marys journal argus weekender,metroland media group ltd.,,ON,6896.0,metroland media group ltd.,"['st. marys ,ON, Canada']",7265.0,6655.0,9.2,3094.0,3026.0,583.5,12.45,44.1,5790.0,1140.0,1860.0,2790.0,95.0,840.0,5855.0,5735.0,37784.0,7035.0,6540.0,460.0,"[(43.2570855, -81.1408629)]",['St. Marys'],2013,False
0,812.0,Wednesday,T,2013,london&sarnia&woodstock,action l,altomedia inc.,1648.0,ON,2460.0,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,False
1,,Wednesday,T,2014,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
2,,Wednesday,T,2015,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
3,,Wednesday,T,2016,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
4,,Wednesday,T,2017,london&sarnia&woodstock,action l,altomedia inc.,,ON,,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']",165439.3333,158757.0,4.0,75470.66667,70742.66667,727.5666667,211.39,42.06666667,136403.3333,23068.33333,39048.33333,74285.0,2231.666667,31223.33333,136401.6667,130836.6667,34115.66667,162798.3333,127565.0,32343.33333,"[(42.9832406, -81.243372), (42.9746137, -82.4065585), (43.1301111, -80.7562977)]","['London', 'Sarnia', 'Woodstock']",2013,True
