COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26
1001101,10,Newfoundland and Labrador,1,Division No. 1,101,"Division No. 1, Subd. V ",36,62,-41.9,140,19,0,894.15,,,,,,,,,,,,,
1001105,10,Newfoundland and Labrador,1,Division No. 1,105,Portugal Cove South ,150,160,-6.3,91,69,131.5,1.14,52.1,205,65,60,80,10,15,145,,,210,210,0
1001113,10,Newfoundland and Labrador,1,Division No. 1,113,Trepassey ,481,570,-15.6,356,245,8.6,55.88,54.4,365,105,95,165,15,10,455,450,25749,375,370,10
1001120,10,Newfoundland and Labrador,1,Division No. 1,120,St. Shott's ,66,81,-18.5,52,38,58.4,1.13,62,70,15,35,20,0,0,65,,,70,65,0
1001124,10,Newfoundland and Labrador,1,Division No. 1,124,"Division No. 1, Subd. U ",1625,1513,7.4,1630,697,2.2,754.35,46,1395,250,350,790,35,160,1410,1375,31654,1620,1600,20
1001126,10,Newfoundland and Labrador,1,Division No. 1,126,Cape Broyle ,489,506,-3.4,291,211,48.6,10.05,44.8,480,145,125,210,0,10,415,405,27872,555,560,0
1001131,10,Newfoundland and Labrador,1,Division No. 1,131,Renews-Cappahayden ,301,310,-2.9,346,148,2.4,127.89,53.2,295,65,130,105,10,10,285,280,25408,320,315,10
1001136,10,Newfoundland and Labrador,1,Division No. 1,136,Fermeuse ,325,323,0.6,178,134,8.4,38.76,52.8,240,75,90,70,10,10,245,240,26336,285,285,0
1001140,10,Newfoundland and Labrador,1,Division No. 1,140,Port Kirwan ,52,65,-20,64,27,5.7,9.19,60,40,10,25,10,0,0,50,,,40,35,0
1001144,10,Newfoundland and Labrador,1,Division No. 1,144,Aquaforte ,80,83,-3.6,71,41,11.7,6.82,56.7,70,25,25,25,0,0,75,,,70,70,10
1001149,10,Newfoundland and Labrador,1,Division No. 1,149,Ferryland ,414,465,-11,254,190,30.4,13.62,51.4,405,85,135,180,0,45,385,380,28416,450,445,0
1001155,10,Newfoundland and Labrador,1,Division No. 1,155,"Division No. 1, Subd. W ",435,511,-14.9,893,214,0.5,843.33,52.7,355,100,115,135,20,20,410,405,32128,360,355,0
1001169,10,Newfoundland and Labrador,1,Division No. 1,169,St. Vincent's-St. Stephen's-Peter's River ,313,340,-7.9,221,156,3.6,87.5,53.3,290,125,90,80,10,0,290,280,21632,305,300,0
1001174,10,Newfoundland and Labrador,1,Division No. 1,174,Gaskiers-Point La Haye ,232,233,-0.4,145,118,9.7,23.81,52.9,220,60,70,90,0,10,215,,,245,240,0
1001178,10,Newfoundland and Labrador,1,Division No. 1,178,St. Mary's ,347,439,-21,216,170,9.4,37.05,55,320,95,95,125,10,35,325,320,24128,350,345,10
1001181,10,Newfoundland and Labrador,1,Division No. 1,181,Riverhead ,185,212,-12.7,153,83,1.8,105.63,53.5,190,45,70,70,0,10,165,,,205,200,0
1001186,10,Newfoundland and Labrador,1,Division No. 1,186,Admirals Beach ,135,153,-11.8,80,62,5.5,24.42,54.3,145,55,50,35,10,0,125,,,145,140,0
1001192,10,Newfoundland and Labrador,1,Division No. 1,192,St. Joseph's ,115,115,0,114,58,3.6,32.31,54.7,145,45,40,60,10,25,105,,,165,165,0
1001197,10,Newfoundland and Labrador,1,Division No. 1,197,Mount Carmel-Mitchells Brook-St. Catherine's ,349,358,-2.5,302,163,5.7,61.72,55.2,280,85,70,130,10,25,315,305,29920,275,275,10
1001203,10,Newfoundland and Labrador,1,Division No. 1,203,"Division No. 1, Subd. X ",513,506,1.4,754,235,0.9,571,50.9,485,135,105,245,0,35,470,450,32768,510,505,10
1001207,10,Newfoundland and Labrador,1,Division No. 1,207,Colinet ,80,110,-27.3,73,39,12.8,6.24,53.9,95,15,10,70,15,0,75,,,110,105,0
1001214,10,Newfoundland and Labrador,1,Division No. 1,214,"Division No. 1, Subd. C ",100,131,-23.7,140,52,0.1,833.08,57.4,110,50,25,35,0,0,95,,,110,110,0
1001219,10,Newfoundland and Labrador,1,Division No. 1,219,Branch ,228,247,-7.7,174,108,14.1,16.15,50,210,85,80,45,0,0,210,,,225,215,0
