,AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year
0,ajax pickering news advertiser,Thursday,52714,4.52,335.0,1160.0,10.0,175.0,10.0,2013
1,ajax pickering news advertiser,Wednesday,52732,4.52,335.0,1160.0,10.0,175.0,10.0,2013
2,ajax pickering news advertiser,Thursday,53596,4.94,1160.0,1160.0,10.0,161.0,10,2014
3,ajax pickering news advertiser,Wednesday,53584,4.94,1160.0,1160.0,10.0,161.0,10,2014
4,ajax pickering news advertiser,Thursday,53619,4.94,1160.0,1160.0,10.0,161.0,10.0,2015
5,ajax pickering news advertiser,Wednesday,53619,4.94,1160.0,1160.0,10.0,161.0,10.0,2015
6,ajax pickering news advertiser,Thursday,53950,4.94,,1160.0,10.0,161.0,10.0,2016
7,ajax pickering news advertiser,Wednesday,53965,4.94,,1160.0,10.0,161.0,10.0,2016
8,ajax pickering news advertiser,Thursday,52833,4.94,,1160.0,10.0,161.0,10.0,2017
9,ajax pickering news advertiser,Wednesday,52855,4.94,,1160.0,10.0,161.0,10.0,2017
10,ajax pickering news advertiser,Thursday,52624,4.94,,1160.0,10.0,161.0,10.0,2018
11,ajax pickering news advertiser,Wednesday,52574,4.94,,1160.0,10.0,161.0,10.0,2018
12,ajax pickering news advertiser,Thursday,53176,4.94,,1160.0,10.0,161.0,10.0,2019
13,ajax pickering news advertiser,Wednesday,53217,4.94,,1160.0,10.0,161.0,10.0,2019
14,alexandria glengarry news,Wednesday,5229,0.85,206.0,694.0,8.0,295.0,7.0,2013
15,alexandria glengarry news,Wednesday,4990,0.85,206.0,694.0,8.0,295.0,5,2014
16,alexandria glengarry news,Wednesday,4714,0.85,206.0,694.0,8.0,295.0,5.0,2015
17,alexandria glengarry news,Wednesday,4612,0.85,,694.0,8.0,295.0,5.0,2016
18,alexandria glengarry news,Wednesday,4615,0.85,,694.0,8.0,295.0,5.0,2017
19,alexandria glengarry news,Wednesday,4420,0.92,,694.0,8.0,295.0,5.0,2018
20,alexandria glengarry news,Wednesday,4039,0.92,,694.0,8.0,295.0,5.0,2019
21,alliston herald,Thursday,22553,3.21,335.0,1160.0,10.0,175.0,10.0,2013
22,alliston herald,Thursday,22127,3.51,1160.0,1160.0,10.0,161.0,10,2014
23,alliston herald,Thursday,22266,3.51,1160.0,1160.0,10.0,161.0,10.0,2015
24,alliston herald,Thursday,22403,3.51,,1160.0,10.0,161.0,10.0,2016
25,alliston herald,Thursday,22860,3.51,,1160.0,10.0,161.0,10.0,2017
26,alliston herald,Thursday,23199,3.51,,1160.0,10.0,161.0,10.0,2018
27,alliston herald,Thursday,22890,3.51,,1160.0,10.0,161.0,10.0,2019
28,amherstburg river town times,Wednesday,8986,0.77,88.0,382.0,6.0,210.0,5.0,2013
29,amherstburg river town times,Wednesday,8985,0.79,88.0,382.0,6.0,210.0,5,2014
30,amherstburg river town times,Wednesday,9177,0.79,88.0,382.0,6.0,210.0,5.0,2015
31,amherstburg river town times,Wednesday,9185,0.79,,382.0,6.0,210.0,5.0,2016
32,amherstburg river town times,Wednesday,9133,0.79,,382.0,6.0,210.0,5.0,2017
33,amherstburg river town times,Wednesday,9280,0.79,,382.0,6.0,210.0,5.0,2018
34,amherstburg river town times,Wednesday,9442,0.79,,382.0,6.0,210.0,5.0,2019
35,ancaster news,Thursday,12817,1.7,335.0,1160.0,10.0,175.0,10.0,2013
36,ancaster news,Thursday,12823,1.85,1160.0,1160.0,10.0,161.0,10,2014
37,ancaster news,Thursday,12927,1.85,1160.0,1160.0,10.0,161.0,10.0,2015
38,ancaster news,Thursday,12712,1.85,,1160.0,10.0,161.0,10.0,2016
39,ancaster news,Thursday,12710,1.85,,1160.0,10.0,161.0,10.0,2017
40,ancaster news,Thursday,13040,1.85,,1160.0,10.0,161.0,10.0,2018
41,ancaster news,Thursday,13075,1.85,,1160.0,10.0,161.0,10.0,2019
42,arnprior chronicle guide,Thursday,7607,1.06,335.0,1160.0,6.0,218.0,5.0,2013
