,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge
0,ajax pickering news advertiser,52714.0,4.52,335.0,1160.0,10.0,175.0,10.0,2013,2012.0,1.0,Thursday,1,1,52723.0,4.52,335.0,1160.0,ajax pickering news advertiser,both,,,,Thursday,1316.0,53802.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,53802.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,0.0,53464.333333333336,0.0,53464.333333333336,Thursday,both
1,ajax pickering news advertiser,53596.0,4.94,1160.0,1160.0,10.0,161.0,10,2014,2013.0,1.0,Thursday,1,1,53590.0,4.94,1160.0,1160.0,ajax pickering news advertiser,both,,,,Thursday,1317.0,54382.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,54382.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,0.0,53727.0,0.0,53727.0,Thursday,both
2,ajax pickering news advertiser,53619.0,4.94,1160.0,1160.0,10.0,161.0,10.0,2015,2014.0,1.0,Thursday,1,1,53619.0,4.94,1160.0,1160.0,ajax pickering news advertiser,both,,,,Thursday,1318.0,53818.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,53818.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,0.0,53815.5,0.0,53815.5,Thursday,both
3,ajax pickering news advertiser,53950.0,4.94,,1160.0,10.0,161.0,10.0,2016,2015.0,1.0,Thursday,1,1,53957.5,4.94,,1160.0,ajax pickering news advertiser,both,,,,Thursday,1319.0,52833.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52833.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,0.0,52844.0,0.0,52844.0,Thursday,both
4,ajax pickering news advertiser,52833.0,4.94,,1160.0,10.0,161.0,10.0,2017,2016.0,1.0,Thursday,1,1,52844.0,4.94,,1160.0,ajax pickering news advertiser,both,,,,Thursday,1320.0,52863.66666666666,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52863.66666666666,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,1.0,52736.5,0.0,52736.5,Thursday,both
5,ajax pickering news advertiser,53004.5,4.94,,1160.0,10.0,161.0,10.0,2018,2016.0,2.0,Thursday,1,1,53020.25,4.94,,1160.0,ajax pickering news advertiser,both,,,,Thursday,1321.0,52894.333333333336,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52894.333333333336,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,1.0,52629.0,0.0,52629.0,Thursday,both
6,ajax pickering news advertiser,53176.0,4.94,,1160.0,10.0,161.0,10.0,2019,2018.0,1.0,Thursday,1,1,53196.5,4.94,,1160.0,ajax pickering news advertiser,both,,,,Thursday,1322.0,52925.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52925.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",307.0,262.0,2013.0,0.0,52521.5,0.0,52521.5,Thursday,both
7,ajax pickering news advertiser,52732.0,4.52,335.0,1160.0,10.0,175.0,10.0,2013,2012.0,1.0,Wednesday,2,1,52723.0,4.52,335.0,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1323.0,53802.0,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,53802.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,0.0,53464.333333333336,0.0,53464.333333333336,Wednesday,both
8,ajax pickering news advertiser,53584.0,4.94,1160.0,1160.0,10.0,161.0,10,2014,2013.0,1.0,Wednesday,2,1,53590.0,4.94,1160.0,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1324.0,54394.0,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,54394.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,0.0,53727.0,0.0,53727.0,Wednesday,both
9,ajax pickering news advertiser,53619.0,4.94,1160.0,1160.0,10.0,161.0,10.0,2015,2014.0,1.0,Wednesday,2,1,53619.0,4.94,1160.0,1160.0,ajax pickering news advertiser,both,,,,Wednesday,1325.0,53813.0,B,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,53813.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']",105724.0,99160.5,6.3,34867.5,34234.0,1091.35,149.275,38.85,85827.5,12385.0,24947.5,48490.0,2207.5,21225.0,85827.5,80970.0,37286.5,105085.0,65857.5,38745.0,"[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0.0,"['Ajax', 'Pickering']",308.0,262.0,2013.0,0.0,53815.5,0.0,53815.5,Wednesday,both
