CSDs,Year,ID,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,Year_only,Time,Post2017,OwnerPostmediaMetroland,Interaction,Interaction2,Interaction3
['New Tecumseth'],2013-01-01,6.0,22127.0,22127.0,0.0,0.0,metroland media group ltd.,22553.0,3.21,335.0,1160.0,alliston herald,alliston herald,alliston herald,2013,0,0,1,0.0,0.0,0.0
['New Tecumseth'],2014-01-01,6.0,22266.0,22266.0,0.0,0.0,metroland media group ltd.,22127.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2014,1,0,1,0.0,0.0,0.0
['New Tecumseth'],2015-01-01,6.0,22403.0,22403.0,0.0,0.0,metroland media group ltd.,22266.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2015,2,0,1,0.0,0.0,0.0
['New Tecumseth'],2016-01-01,6.0,22860.0,22860.0,0.0,0.0,metroland media group ltd.,22403.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2016,3,0,1,0.0,0.0,0.0
['New Tecumseth'],2017-01-01,6.0,23199.0,23199.0,0.0,0.0,metroland media group ltd.,22860.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2017,4,0,1,0.0,0.0,0.0
['New Tecumseth'],2018-01-01,6.0,23229.0,23229.0,0.0,0.0,metroland media group ltd.,23199.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2018,5,1,1,0.0,0.0,0.0
['New Tecumseth'],2019-01-01,6.0,22879.0,22879.0,0.0,0.0,metroland media group ltd.,22890.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,2019,6,1,1,0.0,0.0,0.0
['Hamilton'],2013-01-01,9.0,12823.0,12823.0,0.0,0.0,metroland media group ltd.,12817.0,1.7,335.0,1160.0,ancaster news,ancaster news,ancaster news,2013,0,0,1,0.0,0.0,0.0
['Hamilton'],2014-01-01,9.0,12927.0,12927.0,0.0,0.0,metroland media group ltd.,12823.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2014,1,0,1,0.0,0.0,0.0
['Hamilton'],2015-01-01,9.0,12725.0,12725.0,0.0,0.0,metroland media group ltd.,12927.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2015,2,0,1,0.0,0.0,0.0
['Hamilton'],2016-01-01,9.0,12710.0,12710.0,0.0,0.0,metroland media group ltd.,12712.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2016,3,0,1,0.0,0.0,0.0
['Hamilton'],2017-01-01,9.0,13041.0,13041.0,0.0,0.0,metroland media group ltd.,12710.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2017,4,0,1,0.0,0.0,0.0
['Hamilton'],2018-01-01,9.0,13037.0,13037.0,0.0,0.0,metroland media group ltd.,13040.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2018,5,1,1,0.0,0.0,0.0
['Hamilton'],2019-01-01,9.0,13111.0,13111.0,0.0,0.0,metroland media group ltd.,13075.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,2019,6,1,1,0.0,0.0,0.0
['Arnprior'],2013-01-01,11.0,7668.0,7668.0,0.0,1.0,metroland media group ltd.,7607.0,1.06,335.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2013,0,0,1,0.0,0.0,1.0
['Arnprior'],2014-01-01,11.0,7892.0,7892.0,0.0,1.0,metroland media group ltd.,7668.0,0.74,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2014,1,0,1,0.0,0.0,1.0
['Arnprior'],2015-01-01,11.0,7941.0,7941.0,0.0,1.0,metroland media group ltd.,7873.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2015,2,0,1,0.0,0.0,1.0
['Arnprior'],2016-01-01,11.0,8332.0,8332.0,0.0,1.0,metroland media group ltd.,7941.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2016,3,0,1,0.0,0.0,1.0
['Arnprior'],2017-01-01,11.0,8114.0,8114.0,0.0,1.0,metroland media group ltd.,8332.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2017,4,0,1,0.0,0.0,1.0
['Arnprior'],2018-01-01,11.0,8019.0,8019.0,0.0,1.0,metroland media group ltd.,8114.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2018,5,1,1,1.0,1.0,1.0
['Arnprior'],2019-01-01,11.0,7085.0,7085.0,0.0,1.0,metroland media group ltd.,7380.0,0.87,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,2019,6,1,1,1.0,1.0,1.0
['Barrie'],2013-01-01,21.0,52243.0,52243.0,0.0,1.0,metroland media group ltd.,52243.0,3.41,335.0,1160.0,barrie advance,barrie advance,barrie advance,2013,0,0,1,0.0,0.0,1.0
['Barrie'],2014-01-01,21.0,52434.0,52434.0,0.0,1.0,metroland media group ltd.,52221.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2014,1,0,1,0.0,0.0,1.0
['Barrie'],2015-01-01,21.0,52317.0,52317.0,0.0,1.0,metroland media group ltd.,52359.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2015,2,0,1,0.0,0.0,1.0
['Barrie'],2016-01-01,21.0,52759.0,52759.0,0.0,1.0,metroland media group ltd.,52317.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2016,3,0,1,0.0,0.0,1.0
['Barrie'],2017-01-01,21.0,52713.0,52713.0,0.0,1.0,metroland media group ltd.,52759.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2017,4,0,1,0.0,0.0,1.0
['Barrie'],2018-01-01,21.0,52226.0,52226.0,0.0,1.0,metroland media group ltd.,52277.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2018,5,1,1,1.0,1.0,1.0
['Barrie'],2019-01-01,21.0,51125.0,51125.0,0.0,1.0,metroland media group ltd.,51148.0,3.72,1160.0,1160.0,barrie advance,barrie advance,barrie advance,2019,6,1,1,1.0,1.0,1.0
['Bradford West Gwillimbury'],2013-01-01,41.0,17967.0,17967.0,0.0,1.0,metroland media group ltd.,9050.0,1.37,335.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2013,0,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2014-01-01,41.0,10083.0,10083.0,0.0,1.0,metroland media group ltd.,9507.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2014,1,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2015-01-01,41.0,10151.0,10151.0,0.0,1.0,metroland media group ltd.,10330.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2015,2,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2016-01-01,41.0,10538.0,10538.0,0.0,1.0,metroland media group ltd.,10224.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2016,3,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2017-01-01,41.0,10504.0,10504.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2017,4,0,1,0.0,0.0,1.0
['Bradford West Gwillimbury'],2018-01-01,41.0,10470.0,10470.0,0.0,1.0,metroland media group ltd.,10538.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2018,5,1,1,1.0,1.0,1.0
['Bradford West Gwillimbury'],2019-01-01,41.0,10436.0,10436.0,0.0,1.0,metroland media group ltd.,10434.0,1.5,1160.0,1160.0,bradford west gwillimbury topic,bradford west gwillimbury topic,bradford west gwillimbury topic,2019,6,1,1,1.0,1.0,1.0
['Caledon'],2013-01-01,55.0,17008.0,17008.0,0.0,0.0,metroland media group ltd.,16892.0,1.83,335.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2013,0,0,1,0.0,0.0,0.0
['Caledon'],2014-01-01,55.0,17194.0,17194.0,0.0,0.0,metroland media group ltd.,17140.0,2.0,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2014,1,0,1,0.0,0.0,0.0
['Caledon'],2015-01-01,55.0,18629.0,18629.0,0.0,0.0,metroland media group ltd.,17089.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2015,2,0,1,0.0,0.0,0.0
['Caledon'],2016-01-01,55.0,18657.0,18657.0,0.0,0.0,metroland media group ltd.,17951.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2016,3,0,1,0.0,0.0,0.0
['Caledon'],2017-01-01,55.0,18360.0,18360.0,0.0,0.0,metroland media group ltd.,18657.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2017,4,0,1,0.0,0.0,0.0
['Caledon'],2018-01-01,55.0,19199.0,19199.0,0.0,0.0,metroland media group ltd.,18437.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2018,5,1,1,0.0,0.0,0.0
['Caledon'],2019-01-01,55.0,19290.0,19290.0,0.0,0.0,metroland media group ltd.,19199.0,2.06,1160.0,1160.0,caledon enterprise,caledon enterprise,caledon enterprise,2019,6,1,1,0.0,0.0,0.0
['Cambridge'],2013-01-01,58.0,48113.0,48113.0,0.0,0.0,metroland media group ltd.,48159.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,2013,0,0,1,0.0,0.0,0.0
['Cambridge'],2014-01-01,58.0,48367.0,48367.0,0.0,0.0,metroland media group ltd.,48113.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2014,1,0,1,0.0,0.0,0.0
['Cambridge'],2015-01-01,58.0,48168.0,48168.0,0.0,0.0,metroland media group ltd.,48224.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2015,2,0,1,0.0,0.0,0.0
['Cambridge'],2016-01-01,58.0,46877.0,46877.0,0.0,0.0,metroland media group ltd.,48168.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2016,3,0,1,0.0,0.0,0.0
['Cambridge'],2017-01-01,58.0,46295.0,46295.0,0.0,0.0,metroland media group ltd.,46877.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2017,4,0,1,0.0,0.0,0.0
['Cambridge'],2018-01-01,58.0,45733.0,45733.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2018,5,1,1,0.0,0.0,0.0
['Cambridge'],2019-01-01,58.0,44949.0,44949.0,0.0,0.0,metroland media group ltd.,46295.0,2.22,1160.0,1160.0,cambridge times,cambridge times,cambridge times,2019,6,1,1,0.0,0.0,0.0
['Cambridge'],2013-01-01,59.0,43185.0,43185.0,0.0,0.0,metroland media group ltd.,43045.0,1.84,335.0,1160.0,cambridge times,cambridge times,cambridge times,2013,0,0,1,0.0,0.0,0.0
