,Unnamed: 0,MarketAndNewspaper
0,0,london sarnia woodstock action l
2,2,woodbridge advertiser
24,24,toronto beachriverdale mirror
34,34,bradford west gwillimbury times
42,42,burford times
55,55,cfb borden citizen
58,58,toronto city centre york mirror
62,62,cfb trenton contact
75,75,elmira independent express
86,86,ottawa express dottawa l
98,98,parkhill gazette transcript free press
102,102,penetanguishene gout de vivre le
106,106,cfsu ottawa guard of honour
114,114,bancroft wilberforce highlands courier
116,116,kapuskasing horizon
123,123,hamilton burlington information l
129,129,journal de cornwall le
139,139,"kitchener citizen, west edition"
146,146,lambton-middlesex lambtonmiddlesex standard
149,149,hearst le nord
150,150,hawkesbury le regional
151,151,hamilton niagara kitchener welland le regional
152,152,sudbury le voyageur
162,162,stratford marketplace
166,166,toronto metropolitain le
178,178,bracebridge muskoka sun
183,183,brantford new credit reporter
185,185,new tecumseth times
188,188,embrun news
198,198,niagara this week town crier
199,199,"niagara this week, fort erie post"
200,200,"port colborne niagara this week, the leader"
203,203,oxford mills north grenville times
208,208,north toronto post
211,211,toronto north york post
219,219,timmins nouvelles les
221,221,london observateur l
223,223,pembroke observer and news
232,232,"ottawa community voice, greenborosouth keys"
233,233,"ottawa community voice, hunt clubriverside park"
235,235,"ottawa community voice, west carleton"
249,249,petawawa post
250,250,cfb petawawa post
255,255,mattawa recorder
256,256,embrun reflet
257,257,windsor rempart le
261,261,toronto richmond hill post
264,264,caledonia sachem extra haldimand county news
269,269,london scene
279,279,snap 1000 islands
280,280,snap ajax
281,281,toronto snap annex
282,282,snap aurora
283,283,snap barrie
284,284,toronto snap beach danforth
286,286,snap brampton
289,289,snap caledon
290,290,snap cambridge
291,291,snap clarington
292,292,toronto snap college
293,293,snap downtown toronto
294,294,snap dufferin
295,295,snap etobicoke
296,296,snap georgina
297,297,snap guelph
298,298,haldimand-norfolk snap haldimandnorfolk
299,299,snap hamilton
300,300,snap ingersoll
301,301,snap kingston
302,302,snap kitchener waterloo
303,303,snap london
304,304,snap markham
305,305,snap midland penetang
306,306,snap milton
307,307,snap newmarket
308,308,snap niagara falls
309,309,snap north bay
310,310,snap north mississauga
313,313,snap northumberland west
314,314,snap oakville
315,315,snap orillia
316,316,snap oshawa
317,317,snap perth
318,318,snap peterborough
319,319,snap pickering
320,320,toronto snap queen
321,321,snap quinte
322,322,snap richmond hill
323,323,snap sault ste. marie
324,324,snap scarborough
325,325,snap south mississauga
326,326,snap south simcoe
327,327,snap st. catharines
329,329,snap stouffville uxbridge
330,330,snap sudbury
331,331,snap tillsonburg
333,333,snap vaughan east
335,335,snap whitby
336,336,snap windsor
337,337,snap woodbridge
338,338,snap woodstock
340,340,sudbury south side story
351,351,forest standard guide advocate
358,358,toronto streeter forest hill
360,360,streeter north toronto
364,364,new liskeard temiskaming speakers weekender
370,370,the burford advance
372,372,the chesterville record
374,374,kapuskasing the community press la presse communautaire
377,377,port stanley the echo
383,383,kenora the holidayer
386,386,bobcaygeon the kawartha promoter
387,387,the kincardine independent
392,392,canada the lights of homeland
397,397,newmarket the month ahead
398,398,clarence-rockland the musketeers journal
402,402,cfb north bay the shield le bouclier
403,403,port perry the standard
411,411,rainy river the westend weekly
415,415,toronto thornhill post
430,430,hawkesbury tribune express
432,432,hagersville six nations two row times
436,436,toronto village post
437,437,rockland vision
443,443,king township weekly sentinel
449,449,mississauga wiadomosci
