index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
21,6.0,2013,22127.0,22127.0,0.0,0.0,metroland media group ltd.,22553.0,3.21,335.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2013
22,6.0,2014,22266.0,22266.0,0.0,0.0,metroland media group ltd.,22127.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2014
23,6.0,2015,22403.0,22403.0,0.0,0.0,metroland media group ltd.,22266.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2015
24,6.0,2016,22860.0,22860.0,0.0,0.0,metroland media group ltd.,22403.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2016
25,6.0,2017,23199.0,23199.0,0.0,0.0,metroland media group ltd.,22860.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2017
26,6.0,2018,23229.0,23229.0,0.0,0.0,metroland media group ltd.,23199.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2018
27,6.0,2019,22879.0,22879.0,0.0,0.0,metroland media group ltd.,22890.0,3.51,1160.0,1160.0,alliston herald,alliston herald,alliston herald,['New Tecumseth'],2019
35,9.0,2013,12823.0,12823.0,0.0,0.0,metroland media group ltd.,12817.0,1.7,335.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2013
36,9.0,2014,12927.0,12927.0,0.0,0.0,metroland media group ltd.,12823.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2014
37,9.0,2015,12725.0,12725.0,0.0,0.0,metroland media group ltd.,12927.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2015
38,9.0,2016,12710.0,12710.0,0.0,0.0,metroland media group ltd.,12712.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2016
39,9.0,2017,13041.0,13041.0,0.0,0.0,metroland media group ltd.,12710.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2017
40,9.0,2018,13037.0,13037.0,0.0,0.0,metroland media group ltd.,13040.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2018
41,9.0,2019,13111.0,13111.0,0.0,0.0,metroland media group ltd.,13075.0,1.85,1160.0,1160.0,ancaster news,ancaster news,ancaster news,['Hamilton'],2019
42,11.0,2013,7668.0,7668.0,0.0,1.0,metroland media group ltd.,7607.0,1.06,335.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,['Arnprior'],2013
43,11.0,2014,7892.0,7892.0,0.0,1.0,metroland media group ltd.,7668.0,0.74,1160.0,1160.0,arnprior chronicle guide,arnprior chronicle guide,arnprior chronicle guide,['Arnprior'],2014
