,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,MarketAndNewspaper,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds
0,0.0,,,2013,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Barrie Examiner,['Barrie'],1,1,2013.0,0.0,0.0,0.0,0.0
1,0.0,,,2013,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,Innisfil Examiner,['Innisfil'],2,2,2013.0,0.0,0.0,0.0,0.0
2,0.0,,,2013,Peterborough,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Peterborough Examiner,['Peterborough'],3,3,2013.0,0.0,0.0,0.0,0.0
3,0.0,,,2014,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Barrie Examiner,['Barrie'],4,4,2014.0,0.0,0.0,0.0,0.0
4,0.0,,,2014,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,Innisfil Examiner,['Innisfil'],5,5,2014.0,0.0,0.0,0.0,0.0
5,0.0,,,2014,Peterborough,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Peterborough Examiner,['Peterborough'],6,6,2014.0,0.0,0.0,0.0,0.0
6,0.0,,,2015,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Barrie Examiner,['Barrie'],7,7,2015.0,0.0,0.0,0.0,0.0
7,0.0,,,2015,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,Innisfil Examiner,['Innisfil'],8,8,2015.0,0.0,0.0,0.0,0.0
8,0.0,,,2015,Peterborough,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Peterborough Examiner,['Peterborough'],9,9,2015.0,0.0,0.0,0.0,0.0
9,0.0,,,2016,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Barrie Examiner,['Barrie'],10,10,2016.0,0.0,0.0,0.0,0.0
10,0.0,,,2016,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,Innisfil Examiner,['Innisfil'],11,11,2016.0,0.0,0.0,0.0,0.0
11,0.0,,,2016,Peterborough,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Peterborough Examiner,['Peterborough'],12,12,2016.0,0.0,0.0,0.0,0.0
12,0.0,,,2017,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Barrie Examiner,['Barrie'],13,13,2017.0,0.0,0.0,0.0,0.0
13,0.0,,,2017,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1,Innisfil Examiner,['Innisfil'],14,14,2017.0,0.0,0.0,0.0,0.0
14,0.0,,,2017,Peterborough,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1,Peterborough Examiner,['Peterborough'],15,15,2017.0,0.0,0.0,0.0,0.0
