,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
1235,Friday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,52789.0,metroland media group ltd.
1241,Thursday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,53802.0,metroland media group ltd.
1248,Wednesday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,53802.0,metroland media group ltd.
1236,Friday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,52405.0,metroland media group ltd.
1242,Thursday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,54382.0,metroland media group ltd.
1249,Wednesday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,54394.0,metroland media group ltd.
1237,Friday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1243,Thursday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,53818.0,metroland media group ltd.
1250,Wednesday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,53813.0,metroland media group ltd.
1238,Friday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1244,Thursday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,52833.0,metroland media group ltd.
1251,Wednesday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,52855.0,metroland media group ltd.
1239,Friday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1245,Thursday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1252,Wednesday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1240,Friday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1246,Thursday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1253,Wednesday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,,metroland media group ltd.
1247,Thursday,2019,ajax&pickering,news advertiser,ajax pickering news advertiser,52925.0,metroland media group ltd.
1254,Wednesday,2019,ajax&pickering,news advertiser,ajax pickering news advertiser,52118.0,metroland media group ltd.
655,Wednesday,2013,alexandria,glengarry news,alexandria glengarry news,5229.0,glengarry news ltd.
656,Wednesday,2014,alexandria,glengarry news,alexandria glengarry news,4807.0,glengarry news ltd.
657,Wednesday,2015,alexandria,glengarry news,alexandria glengarry news,4803.0,glengarry news ltd.
658,Wednesday,2016,alexandria,glengarry news,alexandria glengarry news,4615.0,glengarry news ltd.
659,Wednesday,2017,alexandria,glengarry news,alexandria glengarry news,4420.0,glengarry news ltd.
660,Wednesday,2018,alexandria,glengarry news,alexandria glengarry news,4216.0,glengarry news ltd.
661,Wednesday,2019,alexandria,glengarry news,alexandria glengarry news,3977.0,glengarry news ltd.
30,Thursday,2013,alliston,alliston herald,alliston herald,22127.0,metroland media group ltd.
37,Tuesday,2013,alliston,alliston herald,alliston herald,670.0,metroland media group ltd.
31,Thursday,2014,alliston,alliston herald,alliston herald,22266.0,metroland media group ltd.
38,Tuesday,2014,alliston,alliston herald,alliston herald,,metroland media group ltd.
