,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
1558,Friday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,52789,metroland media group ltd.
1557,Thursday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,53802,metroland media group ltd.
1556,Wednesday,2013,ajax&pickering,news advertiser,ajax pickering news advertiser,53802,metroland media group ltd.
1209,Friday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,52405,metroland media group ltd.
1207,Thursday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,54382,metroland media group ltd.
1208,Wednesday,2014,ajax&pickering,news advertiser,ajax pickering news advertiser,54394,metroland media group ltd.
1212,Friday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,52405,metroland media group ltd.
1210,Thursday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,53818,metroland media group ltd.
1211,Wednesday,2015,ajax&pickering,news advertiser,ajax pickering news advertiser,53813,metroland media group ltd.
1213,Friday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,52405,metroland media group ltd.
1214,Thursday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,52833,metroland media group ltd.
1215,Wednesday,2016,ajax&pickering,news advertiser,ajax pickering news advertiser,52855,metroland media group ltd.
1216,Friday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,52405,metroland media group ltd.
1218,Thursday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,52833,metroland media group ltd.
1217,Wednesday,2017,ajax&pickering,news advertiser,ajax pickering news advertiser,52855,metroland media group ltd.
1221,Friday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,52405,metroland media group ltd.
1219,Thursday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,52833,metroland media group ltd.
1220,Wednesday,2018,ajax&pickering,news advertiser,ajax pickering news advertiser,52855,metroland media group ltd.
1223,Thursday,2019,ajax&pickering,news advertiser,ajax pickering news advertiser,52925,metroland media group ltd.
1222,Wednesday,2019,ajax&pickering,news advertiser,ajax pickering news advertiser,52118,metroland media group ltd.
629,Wednesday,2013,alexandria,glengarry news,alexandria glengarry news,5229,glengarry news ltd.
630,Wednesday,2014,alexandria,glengarry news,alexandria glengarry news,4807,glengarry news ltd.
631,Wednesday,2015,alexandria,glengarry news,alexandria glengarry news,4803,glengarry news ltd.
632,Wednesday,2016,alexandria,glengarry news,alexandria glengarry news,4615,glengarry news ltd.
633,Wednesday,2017,alexandria,glengarry news,alexandria glengarry news,4420,glengarry news ltd.
634,Wednesday,2018,alexandria,glengarry news,alexandria glengarry news,4216,glengarry news ltd.
635,Wednesday,2019,alexandria,glengarry news,alexandria glengarry news,3977,glengarry news ltd.
23,Thursday,2013,alliston,alliston herald,alliston herald,22127,metroland media group ltd.
22,Tuesday,2013,alliston,alliston herald,alliston herald,670,metroland media group ltd.
24,Thursday,2014,alliston,alliston herald,alliston herald,22266,metroland media group ltd.
25,Tuesday,2014,alliston,alliston herald,alliston herald,670,metroland media group ltd.
26,Thursday,2015,alliston,alliston herald,alliston herald,22403,metroland media group ltd.
27,Tuesday,2015,alliston,alliston herald,alliston herald,670,metroland media group ltd.
29,Thursday,2016,alliston,alliston herald,alliston herald,22860,metroland media group ltd.
28,Tuesday,2016,alliston,alliston herald,alliston herald,670,metroland media group ltd.
30,Thursday,2017,alliston,alliston herald,alliston herald,23199,metroland media group ltd.
31,Thursday,2018,alliston,alliston herald,alliston herald,23229,metroland media group ltd.
32,Thursday,2019,alliston,alliston herald,alliston herald,22879,metroland media group ltd.
39,Wednesday,2013,amherstburg,river town times,amherstburg river town times,8985,river town times
1659,Wednesday,2014,amherstburg,river town times,amherstburg river town times,9177,river town times
1660,Wednesday,2015,amherstburg,river town times,amherstburg river town times,9185,river town times
1661,Wednesday,2016,amherstburg,river town times,amherstburg river town times,9133,river town times
1662,Wednesday,2017,amherstburg,river town times,amherstburg river town times,9280,river town times
1663,Wednesday,2018,amherstburg,river town times,amherstburg river town times,9442,southpoint publishing inc.
1664,Wednesday,2019,amherstburg,river town times,amherstburg river town times,9478,southpoint publishing inc.
