AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,MarketAndNewspaper,_merge1,FreeCirculation,EDITION,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,CSDs,ID,ID2,Swap2017Affected,_merge2,first_year,equal_to_previous,EverPaid,EverFree,OpCross2017,OpPost2017
flesherton advance,Wednesday,1335.0,0.82,353.0,353.0,6.0,301.0,1.0,2013,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1268.0,ON,1268.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1268.0,0.82,353.0,353.0,6.0,301.0,2,2014,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1276.0,ON,1276.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1292.0,0.82,353.0,353.0,6.0,301.0,2.0,2015,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1292.0,ON,1292.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1292.0,0.82,353.0,353.0,6.0,301.0,2.0,2016,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1299.0,ON,1299.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1299.0,0.82,353.0,353.0,6.0,301.0,2.0,2017,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1221.0,ON,1221.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1221.0,0.82,353.0,353.0,6.0,301.0,2.0,2018,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1233.0,ON,1233.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
flesherton advance,Wednesday,1221.0,0.82,353.0,353.0,6.0,301.0,2.0,2019,flesherton advance,both,0.0,Wednesday,B,flesherton,advance,dundalk herald publishing,1347.0,ON,1347.0,dundalk herald publishing,"['flesherton ,ON, Canada']",9804.0,9520.0,3.0,5299.0,3904.0,11.1,882.51,43.9,8110.0,1915.0,2345.0,3850.0,235.0,1205.0,8115.0,7830.0,30715.0,9715.0,8975.0,715.0,"[(44.2610602, -80.5457496)]",advance,,,,,0.0,flesherton,['Grey Highlands'],2.0,2.0,0.0,both,2013.0,0.0,1.0,0.0,1.0,1.0
mitchell advocate,Wednesday,2191.0,0.78,88.0,294.0,9.0,160.0,3.0,2013,mitchell advocate,both,32.0,Wednesday,T,mitchell,advocate,sun media corporation,2062.0,ON,2094.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,2171.0,0.78,88.0,176.0,9.0,160.0,3,2014,mitchell advocate,both,23.0,Wednesday,T,mitchell,advocate,sun media corporation,2036.0,ON,2059.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,2057.0,0.79,88.0,176.0,9.0,160.0,3.0,2015,mitchell advocate,both,22.0,Wednesday,T,mitchell,advocate,sun media corporation,1977.0,ON,1999.0,sun media corporation,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,1900.0,0.79,88.0,176.0,9.0,160.0,3.0,2016,mitchell advocate,both,29.0,Wednesday,T,mitchell,advocate,sun media corporation,1841.0,ON,1870.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,1870.0,0.79,88.0,176.0,9.0,160.0,3.0,2017,mitchell advocate,both,18.0,Wednesday,T,mitchell,advocate,postmedia network inc.,1745.0,ON,1763.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,1601.0,0.79,88.0,176.0,9.0,160.0,3.0,2018,mitchell advocate,both,19.0,Wednesday,T,mitchell,advocate,postmedia network inc.,1552.0,ON,1571.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
mitchell advocate,Wednesday,1473.0,0.71,88.0,176.0,10.0,160.0,10.0,2019,mitchell advocate,both,18.0,Wednesday,T,mitchell,advocate,postmedia network inc.,1446.0,ON,1464.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,['West Perth'],4.0,4.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
strathroy age dispatch,Thursday,2263.0,1.08,128.0,469.0,9.0,160.0,3.0,2013,strathroy age dispatch,both,0.0,Thursday,T,strathroy,age dispatch,sun media corporation,2263.0,ON,2263.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",age dispatch,,,,,0.0,strathroy,['Strathroy-Caradoc'],5.0,5.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
strathroy age dispatch,Thursday,2066.0,1.08,128.0,469.0,9.0,160.0,3,2014,strathroy age dispatch,both,0.0,Thursday,T,strathroy,age dispatch,sun media corporation,1480.0,ON,1480.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",age dispatch,,,,,0.0,strathroy,['Strathroy-Caradoc'],5.0,5.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
