,AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,MarketAndNewspaper,_merge1,FreeCirculation,EDITION,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,CSDs,ID,Swap2017Affected,_merge2,first_year,equal_to_previous,EverPaid,EverFree,OpCross2017,OpPost2017,OnlyFree,OnlyPaid,BothPaidFree,Time,Post2017,OwnerPostmediaMetroland
536,barrhaven independent,Friday,10344.0,0.65,176.0,353.0,6.0,220.0,5.0,2015-01-01,barrhaven independent,both,17138.0,Friday,T,barrhaven,independent,the morris group,0.0,ON,17138.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",,,,,,0.0,barrhaven,['Ottawa'],182.0,1.0,both,2015.0,0.0,0.0,1.0,1.0,1.0,1,0,0,2,0,0
537,barrhaven independent,Friday,10344.0,0.75,176.0,353.0,6.0,220.0,5.0,2016-01-01,barrhaven independent,both,12923.0,Friday,T,barrhaven,independent,the morris group,0.0,ON,12923.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",,,,,,0.0,barrhaven,['Ottawa'],182.0,1.0,both,2015.0,1.0,0.0,1.0,1.0,1.0,1,0,0,3,0,0
538,barrhaven independent,Friday,10344.0,0.85,176.0,353.0,6.0,220.0,5.0,2017-01-01,barrhaven independent,both,8708.0,Friday,T,barrhaven,independent,the morris group,0.0,ON,8708.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",,,,,,0.0,barrhaven,['Ottawa'],182.0,1.0,both,2015.0,0.0,0.0,1.0,1.0,1.0,1,0,0,4,0,0
539,barrhaven independent,Friday,6700.0,1.11,176.0,353.0,6.0,168.0,5.0,2018-01-01,barrhaven independent,both,8708.0,Friday,T,barrhaven,independent,the morris group,0.0,ON,8708.0,the morris group,"['barrhaven ,ON, Canada']",934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0,"[(45.280172, -75.759707)]",,,,,,0.0,barrhaven,['Ottawa'],182.0,1.0,both,2015.0,1.0,0.0,1.0,1.0,1.0,1,0,0,5,1,0
912,sudbury northern life,Thursday,47620.0,2.47,361.0,722.0,9.0,196.0,3.0,2013-01-01,sudbury northern life,both,37704.0,Thursday,T,sudbury,northern life,laurentian media group,9724.0,ON,47428.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0
913,sudbury northern life,Thursday,47465.0,2.47,361.0,722.0,9.0,196.0,3,2014-01-01,sudbury northern life,both,37853.0,Thursday,T,sudbury,northern life,laurentian media group,9283.0,ON,47136.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,1,0,0
914,sudbury northern life,Thursday,47136.0,2.47,361.0,722.0,9.0,196.0,3.0,2015-01-01,sudbury northern life,both,37833.0,Thursday,T,sudbury,northern life,laurentian media group,8406.0,ON,46239.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,2,0,0
915,sudbury northern life,Thursday,46426.0,2.47,361.0,722.0,9.0,196.0,3.0,2016-01-01,sudbury northern life,both,37561.0,Thursday,T,sudbury,northern life,laurentian media group,7572.0,ON,45133.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,3,0,0
916,sudbury northern life,Thursday,45133.0,2.79,361.0,722.0,8.0,196.0,6.0,2017-01-01,sudbury northern life,both,38273.0,Thursday,T,sudbury,northern life,laurentian media group,6692.0,ON,44965.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,1.0,1.0,1.0,1.0,1.0,0,0,1,4,0,0
917,sudbury northern life,Thursday,44194.0,2.79,361.0,722.0,8.0,196.0,6.0,2018-01-01,sudbury northern life,both,38985.0,Thursday,T,sudbury,northern life,laurentian media group,5812.0,ON,44797.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,1.0,1.0,1.0,1.0,1.0,0,0,1,5,1,0
918,sudbury northern life,Thursday,44106.0,2.79,361.0,722.0,8.0,196.0,6.0,2019-01-01,sudbury northern life,both,39697.0,Thursday,T,sudbury,northern life,laurentian media group,4932.0,ON,44629.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",northern life,,,,,0.0,sudbury,['Greater Sudbury / Grand Sudbury'],312.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,6,1,0
1047,port dover maple leaf,Wednesday,3110.0,0.65,153.0,294.0,10.0,224.0,10.0,2013-01-01,port dover maple leaf,both,15.0,Wednesday,T,port%20dover,port dover maple leaf,port dover maple leaf limited,3095.0,ON,3110.0,port dover maple leaf limited,"['port dover ,ON, Canada']",64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0,"[(42.7845713, -80.2005169)]",,,,,,0.0,port dover,['Norfolk County'],357.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0
1048,port dover maple leaf,Wednesday,2995.0,0.65,153.0,294.0,10.0,224.0,10,2014-01-01,port dover maple leaf,both,15.0,Wednesday,T,port%20dover,port dover maple leaf,port dover maple leaf limited,2851.0,ON,2866.0,port dover maple leaf limited,"['port dover ,ON, Canada']",64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0,"[(42.7845713, -80.2005169)]",,,,,,0.0,port dover,['Norfolk County'],357.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,1,0,0
1049,port dover maple leaf,Wednesday,2866.0,0.62,153.0,294.0,10.0,224.0,10.0,2015-01-01,port dover maple leaf,both,15.0,Wednesday,T,port%20dover,port dover maple leaf,port dover maple leaf limited,2904.0,ON,2919.0,port dover maple leaf limited,"['port dover ,ON, Canada']",64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0,"[(42.7845713, -80.2005169)]",,,,,,0.0,port dover,['Norfolk County'],357.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,2,0,0
1050,port dover maple leaf,Wednesday,2919.0,0.62,153.0,235.0,10.0,224.0,10.0,2016-01-01,port dover maple leaf,both,15.0,Wednesday,T,port%20dover,port dover maple leaf,port dover maple leaf limited,2825.0,ON,2840.0,port dover maple leaf limited,"['port dover ,ON, Canada']",64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0,"[(42.7845713, -80.2005169)]",,,,,,0.0,port dover,['Norfolk County'],357.0,1.0,both,2013.0,0.0,1.0,1.0,1.0,1.0,0,0,1,3,0,0
