,Newspaper,stdName2
0,ajax pickering news advertiser,
1,alexandria glengarry news,
2,alliston herald,
3,amherstburg river town times,
4,ancaster news,
5,arnprior chronicle guide,
6,arthur enterprise news,
7,atikokan progress,
8,aurora the auroran,
9,aylmer express,
10,ayr news,
11,bancroft this week,
12,bancroft times,
13,barrie advance innisfil journal,
14,barrie advance,
15,barrys bay this week,
16,barrys bay the valley gazette,
17,beeton new tecumseth times,
18,belle river lakeshore news,
19,belleville region the community press,
20,belleville news,
21,blenheim news tribune,
22,blyth brussels citizen,
23,bracebridge examiner,
24,bradford west gwillimbury topic,
25,brampton guardian,
26,brantford brant news,
27,brantford your brant connection,
28,brighton independent,
29,brighton independent northumberland news,
30,brock citizen,
31,brockville st. lawrence emc,st. lawrence news
32,bruce peninsula press,
33,burks falls almaguin news,
34,burlington post flamborough review,
35,burlington post,
36,caledon citizen,
37,caledon enterprise,
38,caledonia the sachem,haldimand county the sachem
39,cambridge times,
40,campbellford northwest emc,
41,carleton place almonte emc,carleton place almonte canadian gazette
42,chatham this week,
43,chesterville record,
44,clarington this week,
45,clinton news record,
46,cochrane times post,
47,collingwood connection,
48,collingwood enterprise bulletin,
49,cornwall express,
50,cornwall seaway news,
51,creemore echo,
52,deep river north renfrew times,
53,delhi news record,
54,dorchester signpost,
55,drayton community news,
56,dresden bothwell leader spirit,
57,dryden observer,
58,dundalk herald,
59,dundas star news,
60,east york riverdale beach mirror,
61,eganville leader,
62,elliot lake the standard,
63,elmira independent,
64,elmira woolwich observer,
65,elmvale springwater news,
66,erin advocate,
67,espanola mid north monitor,
68,essex free press,
69,etobicoke guardian,
70,exeter times advocate,
71,exeter times advocate weekender,
72,fergus elora news express,
73,fergus wellington advertiser,
74,flesherton advance,
75,forest standard,
76,fort erie times,
77,fort frances times,
78,frontenac news,
79,gananoque reporter,
80,georgetown acton independent free press,
81,georgina advocate,
82,geraldton times star,
83,glanbrook gazette,
84,glencoe transcript free press,
85,goderich signal star,
86,grand bend lakeshore advance,
87,gravenhurst banner,
88,guelph tribune,guelph mercury tribune
89,hagersville cayuga haldimand press,
90,haliburton county echo,
91,haliburton highlander,
92,hamilton mountain news,
93,hamilton burlington bay observer,
94,hanover the post,
95,harrow news,
96,hornepayne jackfish journal,
97,huntsville forester,
98,ignace driftwood,
99,ingersoll times,
100,innisfil journal,
101,innisfil scope,
102,iroquois falls enterprise,
103,kanata kourier standard,
104,kapuskasing northern times,
105,kapuskasing northern times weekender,
106,kawartha lakes this week,
107,kawartha lakes north durham caps community news,
108,kemptville emc,kemptville advance
