,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address
0,812,Wednesday,T,2013,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
1,812,Wednesday,T,2014,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
2,812,Wednesday,T,2015,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
3,812,Wednesday,T,2016,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
4,812,Wednesday,T,2017,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
5,812,Wednesday,T,2018,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
6,812,Wednesday,T,2019,london&sarnia&woodstock,action l,altomedia inc.,1648,ON,2460,altomedia inc.,"['london ,ON, Canada', 'sarnia ,ON, Canada', 'woodstock ,ON, Canada']"
7,0,Wednesday,B,2014,flesherton,advance,dundalk herald publishing,1276,ON,1276,dundalk herald publishing,"['flesherton ,ON, Canada']"
8,0,Wednesday,B,2015,flesherton,advance,dundalk herald publishing,1292,ON,1292,dundalk herald publishing,"['flesherton ,ON, Canada']"
9,0,Wednesday,B,2016,flesherton,advance,dundalk herald publishing,1299,ON,1299,dundalk herald publishing,"['flesherton ,ON, Canada']"
10,0,Wednesday,B,2017,flesherton,advance,dundalk herald publishing,1221,ON,1221,dundalk herald publishing,"['flesherton ,ON, Canada']"
11,0,Thursday,T,2014,woodbridge,advertiser,beverley and karl mallette,2750,ON,2750,beverley and karl mallette,"['woodbridge ,ON, Canada']"
12,23,Wednesday,T,2014,mitchell,advocate,sun media corporation,2036,ON,2059,sun media corporation,"['mitchell ,ON, Canada']"
13,22,Wednesday,T,2015,mitchell,advocate,sun media corporation,1977,ON,1999,sun media corporation,"['mitchell ,ON, Canada']"
14,29,Wednesday,T,2016,mitchell,advocate,sun media corporation,1841,ON,1870,postmedia network inc.,"['mitchell ,ON, Canada']"
15,18,Wednesday,T,2017,mitchell,advocate,postmedia network inc.,1745,ON,1763,postmedia network inc.,"['mitchell ,ON, Canada']"
16,0,Thursday,T,2014,strathroy,age dispatch,sun media corporation,1480,ON,1480,sun media corporation,"['strathroy ,ON, Canada']"
17,0,Thursday,T,2015,strathroy,age dispatch,sun media corporation,843,ON,843,sun media corporation,"['strathroy ,ON, Canada']"
18,0,Thursday,T,2016,strathroy,age dispatch,sun media corporation,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']"
19,0,Thursday,T,2017,strathroy,age dispatch,postmedia network inc.,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']"
20,0,Thursday,T,2018,strathroy,age dispatch,postmedia network inc.,843,ON,843,postmedia network inc.,"['strathroy ,ON, Canada']"
21,15150,Thursday,T,2019,strathroy&middlesex,age dispatch,postmedia network inc.,0,ON,15150,postmedia network inc.,"['strathroy ,ON, Canada', 'middlesex ,ON, Canada']"
