,MarketAndNewspaper,CSDs,Market,Year
0,Barrie Examiner,['Barrie'],Barrie,2013
1,Barrie Examiner,['Barrie'],Barrie,2014
2,Barrie Examiner,['Barrie'],Barrie,2015
3,Barrie Examiner,['Barrie'],Barrie,2016
4,Barrie Examiner,['Barrie'],Barrie,2017
5,Innisfil Examiner,['Innisfil'],Innisfil,2013
6,Innisfil Examiner,['Innisfil'],Innisfil,2014
7,Innisfil Examiner,['Innisfil'],Innisfil,2015
8,Innisfil Examiner,['Innisfil'],Innisfil,2016
9,Innisfil Examiner,['Innisfil'],Innisfil,2017
10,Niagara Falls Review,['Pelham'],Niagara Falls,2013
11,Niagara Falls Review,['Pelham'],Niagara Falls,2014
12,Niagara Falls Review,['Pelham'],Niagara Falls,2015
13,Niagara Falls Review,['Pelham'],Niagara Falls,2016
14,Niagara Falls Review,['Pelham'],Niagara Falls,2017
15,Niagara Falls Review,['Pelham'],Niagara Falls,2018
16,Niagara Falls Review,['Pelham'],Niagara Falls,2019
17,Orillia Orillia Packet and Times,['Orillia'],Orillia,2013
18,Orillia Orillia Packet and Times,['Orillia'],Orillia,2014
19,Orillia Orillia Packet and Times,['Orillia'],Orillia,2015
20,Orillia Orillia Packet and Times,['Orillia'],Orillia,2016
21,Orillia Orillia Packet and Times,['Orillia'],Orillia,2017
22,Peterborough Examiner,['Peterborough'],Peterborough,2013
23,Peterborough Examiner,['Peterborough'],Peterborough,2014
24,Peterborough Examiner,['Peterborough'],Peterborough,2015
25,Peterborough Examiner,['Peterborough'],Peterborough,2016
26,Peterborough Examiner,['Peterborough'],Peterborough,2017
27,Peterborough Examiner,['Peterborough'],Peterborough,2018
28,Peterborough Examiner,['Peterborough'],Peterborough,2019
29,St. Catharines Standard,['St. Catharines'],St. Catharines,2013
30,St. Catharines Standard,['St. Catharines'],St. Catharines,2014
31,St. Catharines Standard,['St. Catharines'],St. Catharines,2015
32,St. Catharines Standard,['St. Catharines'],St. Catharines,2016
33,St. Catharines Standard,['St. Catharines'],St. Catharines,2017
34,St. Catharines Standard,['St. Catharines'],St. Catharines,2018
35,St. Catharines Standard,['St. Catharines'],St. Catharines,2019
36,Welland Tribune,['Welland'],Welland,2013
37,Welland Tribune,['Welland'],Welland,2014
38,Welland Tribune,['Welland'],Welland,2015
39,Welland Tribune,['Welland'],Welland,2016
40,Welland Tribune,['Welland'],Welland,2017
41,Welland Tribune,['Welland'],Welland,2018
42,Welland Tribune,['Welland'],Welland,2019
211,belleville news,['Belleville'],belleville,2013
212,belleville news,['Belleville'],belleville,2014
213,belleville news,['Belleville'],belleville,2015
214,belleville news,['Belleville'],belleville,2016
215,belleville news,['Belleville'],belleville,2017
250,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2013
251,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2014
252,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2015
253,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2016
254,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2017
281,brantford brant news,['Brantford'],brantford,2013
282,brantford brant news,['Brantford'],brantford,2014
283,brantford brant news,['Brantford'],brantford,2015
284,brantford brant news,['Brantford'],brantford,2016
285,brantford brant news,['Brantford'],brantford,2017
314,brockville st. lawrence news,['Brockville'],brockville,2013
