,Element,ID2,Owner,MarketAndNewspaper,Year,Swap2017Affected,Swap2017
24,Barrie,1,postmedia network inc.,Barrie Examiner,2017-01-01,1.0,1.0
25,Barrie,24,metroland media group ltd.,barrie advance,2017-01-01,1.0,0.0
14,Belleville,30,metroland media group ltd.,belleville news,2017-01-01,1.0,1.0
15,Belleville,31,postmedia network inc.,belleville quinte the community press,2017-01-01,1.0,0.0
61,Bradford West Gwillimbury,38,postmedia network inc.,bradford west gwillimbury times,2017-01-01,1.0,1.0
62,Bradford West Gwillimbury,39,metroland media group ltd.,bradford west gwillimbury topic,2017-01-01,1.0,0.0
9,Brantford,41,metroland media group ltd.,brantford brant news,2017-01-01,1.0,1.0
10,Brantford,42,postmedia network inc.,"brantford expositor, your tmc newspaper",2017-01-01,1.0,0.0
39,Brockville,46,metroland media group ltd.,brockville st. lawrence news,2017-01-01,1.0,1.0
58,Collingwood,74,postmedia network inc.,collingwood enterprise bulletin,2017-01-01,1.0,1.0
59,Collingwood,75,metroland media group ltd.,collingwood wasaga the connection,2017-01-01,1.0,0.0
60,Collingwood,75,metroland media group ltd.,collingwood wasaga the connection,2017-01-01,1.0,0.0
11,Fort Erie,111,postmedia network inc.,fort erie times,2017-01-01,1.0,1.0
12,Fort Erie,229,metroland media group ltd.,"niagara this week, fort erie post",2017-01-01,1.0,0.0
13,Fort Erie,229,metroland media group ltd.,"niagara this week, fort erie post",2017-01-01,1.0,0.0
42,Greater Sudbury / Grand Sudbury,368,metroland media group ltd.,stirling northeast central hastings news,2017-01-01,1.0,1.0
63,Innisfil,2,postmedia network inc.,Innisfil Examiner,2017-01-01,1.0,1.0
64,Innisfil,149,metroland media group ltd.,innisfil journal,2017-01-01,1.0,0.0
22,Kingston,170,postmedia network inc.,kingston frontenac this week,2017-01-01,1.0,0.0
23,Kingston,171,metroland media group ltd.,kingston heritage,2017-01-01,1.0,1.0
67,London,189,postmedia network inc.,london the londoner,2017-01-01,1.0,0.0
68,London,262,metroland media group ltd.,our london,2017-01-01,1.0,1.0
26,Meaford,199,metroland media group ltd.,meaford express,2017-01-01,1.0,1.0
5,Niagara Falls,3,postmedia network inc.,Niagara Falls Review,2017-01-01,1.0,1.0
46,Niagara-on-the-Lake,226,postmedia network inc.,niagara advance,2017-01-01,1.0,1.0
47,Niagara-on-the-Lake,228,metroland media group ltd.,niagara this week town crier,2017-01-01,1.0,0.0
16,Norfolk County,80,postmedia network inc.,delhi newsrecord,2017-01-01,1.0,0.0
17,Norfolk County,80,postmedia network inc.,delhi newsrecord,2017-01-01,1.0,0.0
18,Norfolk County,231,metroland media group ltd.,norfolk news,2017-01-01,1.0,1.0
65,Orillia,4,postmedia network inc.,Orillia Orillia Packet and Times,2017-01-01,1.0,1.0
66,Orillia,244,metroland media group ltd.,orillia today,2017-01-01,1.0,0.0
50,Ottawa,153,metroland media group ltd.,kanata kourier standard,2017-01-01,1.0,1.0
51,Ottawa,218,metroland media group ltd.,nepean barrhaven news,2017-01-01,1.0,1.0
