,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,ID,ID2
0,ajax pickering news advertiser,52714.0,4.52,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,1,1
1,ajax pickering news advertiser,53596.0,4.94,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,1,1
2,ajax pickering news advertiser,53619.0,4.94,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,1,1
3,ajax pickering news advertiser,53950.0,4.94,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,1,1
4,ajax pickering news advertiser,52833.0,4.94,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,1,1
5,ajax pickering news advertiser,53004.5,4.94,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,1,1
6,ajax pickering news advertiser,53176.0,4.94,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,1,1
7,ajax pickering news advertiser,52732.0,4.52,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Wednesday,2,1
8,ajax pickering news advertiser,53584.0,4.94,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Wednesday,2,1
9,ajax pickering news advertiser,53619.0,4.94,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Wednesday,2,1
10,ajax pickering news advertiser,53965.0,4.94,,1160.0,10.0,161.0,10.0,2016,2015,1,Wednesday,2,1
11,ajax pickering news advertiser,52855.0,4.94,,1160.0,10.0,161.0,10.0,2017,2016,1,Wednesday,2,1
12,ajax pickering news advertiser,53036.0,4.94,,1160.0,10.0,161.0,10.0,2018,2016,2,Wednesday,2,1
13,ajax pickering news advertiser,53217.0,4.94,,1160.0,10.0,161.0,10.0,2019,2018,1,Wednesday,2,1
14,alexandria glengarry news,5229.0,0.85,206.0,694.0,8.0,295.0,7.0,2013,2012,1,Wednesday,3,2
15,alexandria glengarry news,4990.0,0.85,206.0,694.0,8.0,295.0,5,2014,2013,1,Wednesday,3,2
16,alexandria glengarry news,4714.0,0.85,206.0,694.0,8.0,295.0,5.0,2015,2014,1,Wednesday,3,2
17,alexandria glengarry news,4612.0,0.85,,694.0,8.0,295.0,5.0,2016,2015,1,Wednesday,3,2
