,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
0,1001101,10,NL,1,Division No. 1,101,"Division No. 1, Subd. V",36.0,62.0,-41.9,140.0,19.0,0.0,894.15,,,,,,,,,,,,,
1,1001105,10,NL,1,Division No. 1,105,Portugal Cove South,150.0,160.0,-6.3,91.0,69.0,131.5,1.14,52.1,205.0,65.0,60.0,80.0,10.0,15.0,145.0,,,210.0,210.0,0.0
2,1001113,10,NL,1,Division No. 1,113,Trepassey,481.0,570.0,-15.6,356.0,245.0,8.6,55.88,54.4,365.0,105.0,95.0,165.0,15.0,10.0,455.0,450.0,25749.0,375.0,370.0,10.0
3,1001120,10,NL,1,Division No. 1,120,St. Shott's,66.0,81.0,-18.5,52.0,38.0,58.4,1.13,62.0,70.0,15.0,35.0,20.0,0.0,0.0,65.0,,,70.0,65.0,0.0
4,1001124,10,NL,1,Division No. 1,124,"Division No. 1, Subd. U",1625.0,1513.0,7.4,1630.0,697.0,2.2,754.35,46.0,1395.0,250.0,350.0,790.0,35.0,160.0,1410.0,1375.0,31654.0,1620.0,1600.0,20.0
5,1001126,10,NL,1,Division No. 1,126,Cape Broyle,489.0,506.0,-3.4,291.0,211.0,48.6,10.05,44.8,480.0,145.0,125.0,210.0,0.0,10.0,415.0,405.0,27872.0,555.0,560.0,0.0
6,1001131,10,NL,1,Division No. 1,131,Renews-Cappahayden,301.0,310.0,-2.9,346.0,148.0,2.4,127.89,53.2,295.0,65.0,130.0,105.0,10.0,10.0,285.0,280.0,25408.0,320.0,315.0,10.0
7,1001136,10,NL,1,Division No. 1,136,Fermeuse,325.0,323.0,0.6,178.0,134.0,8.4,38.76,52.8,240.0,75.0,90.0,70.0,10.0,10.0,245.0,240.0,26336.0,285.0,285.0,0.0
8,1001140,10,NL,1,Division No. 1,140,Port Kirwan,52.0,65.0,-20.0,64.0,27.0,5.7,9.19,60.0,40.0,10.0,25.0,10.0,0.0,0.0,50.0,,,40.0,35.0,0.0
9,1001144,10,NL,1,Division No. 1,144,Aquaforte,80.0,83.0,-3.6,71.0,41.0,11.7,6.82,56.7,70.0,25.0,25.0,25.0,0.0,0.0,75.0,,,70.0,70.0,10.0
