,MarketAndNewspaper,CSDs,Market,Year
0,Barrie Examiner,['Barrie'],Barrie,2013
3,Barrie Examiner,['Barrie'],Barrie,2014
6,Barrie Examiner,['Barrie'],Barrie,2015
9,Barrie Examiner,['Barrie'],Barrie,2016
12,Barrie Examiner,['Barrie'],Barrie,2017
1,Innisfil Examiner,['Innisfil'],Innisfil,2013
4,Innisfil Examiner,['Innisfil'],Innisfil,2014
7,Innisfil Examiner,['Innisfil'],Innisfil,2015
10,Innisfil Examiner,['Innisfil'],Innisfil,2016
13,Innisfil Examiner,['Innisfil'],Innisfil,2017
22,Niagara Falls Review,['Pelham'],Niagara Falls,2013
23,Niagara Falls Review,['Pelham'],Niagara Falls,2014
24,Niagara Falls Review,['Pelham'],Niagara Falls,2015
25,Niagara Falls Review,['Pelham'],Niagara Falls,2016
26,Niagara Falls Review,['Pelham'],Niagara Falls,2017
27,Niagara Falls Review,['Pelham'],Niagara Falls,2018
28,Niagara Falls Review,['Pelham'],Niagara Falls,2019
17,Orillia Orillia Packet and Times,['Orillia'],Orillia,2013
18,Orillia Orillia Packet and Times,['Orillia'],Orillia,2014
19,Orillia Orillia Packet and Times,['Orillia'],Orillia,2015
20,Orillia Orillia Packet and Times,['Orillia'],Orillia,2016
21,Orillia Orillia Packet and Times,['Orillia'],Orillia,2017
2,Peterborough Examiner,['Peterborough'],Peterborough,2013
5,Peterborough Examiner,['Peterborough'],Peterborough,2014
8,Peterborough Examiner,['Peterborough'],Peterborough,2015
11,Peterborough Examiner,['Peterborough'],Peterborough,2016
14,Peterborough Examiner,['Peterborough'],Peterborough,2017
15,Peterborough Examiner,['Peterborough'],Peterborough,2018
16,Peterborough Examiner,['Peterborough'],Peterborough,2019
29,St. Catharines Standard,['St. Catharines'],St. Catharines,2013
30,St. Catharines Standard,['St. Catharines'],St. Catharines,2014
31,St. Catharines Standard,['St. Catharines'],St. Catharines,2015
32,St. Catharines Standard,['St. Catharines'],St. Catharines,2016
33,St. Catharines Standard,['St. Catharines'],St. Catharines,2017
34,St. Catharines Standard,['St. Catharines'],St. Catharines,2018
35,St. Catharines Standard,['St. Catharines'],St. Catharines,2019
36,Welland Tribune,['Welland'],Welland,2013
37,Welland Tribune,['Welland'],Welland,2014
38,Welland Tribune,['Welland'],Welland,2015
39,Welland Tribune,['Welland'],Welland,2016
40,Welland Tribune,['Welland'],Welland,2017
41,Welland Tribune,['Welland'],Welland,2018
42,Welland Tribune,['Welland'],Welland,2019
217,belleville news,['Belleville'],belleville,2013
218,belleville news,['Belleville'],belleville,2014
219,belleville news,['Belleville'],belleville,2015
220,belleville news,['Belleville'],belleville,2016
221,belleville news,['Belleville'],belleville,2017
244,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2013
245,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2014
246,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2015
247,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2016
248,bradford west gwillimbury times,['Bradford West Gwillimbury'],bradford,2017
275,brantford brant news,['Brantford'],brantford,2013
276,brantford brant news,['Brantford'],brantford,2014
277,brantford brant news,['Brantford'],brantford,2015
278,brantford brant news,['Brantford'],brantford,2016
279,brantford brant news,['Brantford'],brantford,2017
2208,brockville st. lawrence news,['Brockville'],brockville,2013
2209,brockville st. lawrence news,['Brockville'],brockville,2014
2210,brockville st. lawrence news,['Brockville'],brockville,2015
2211,brockville st. lawrence news,['Brockville'],brockville,2016
2212,brockville st. lawrence news,['Brockville'],brockville,2017
571,collingwood enterprise bulletin,['Collingwood'],collingwood,2013
576,collingwood enterprise bulletin,['Collingwood'],collingwood,2013
572,collingwood enterprise bulletin,['Collingwood'],collingwood,2014
577,collingwood enterprise bulletin,['Collingwood'],collingwood,2014
573,collingwood enterprise bulletin,['Collingwood'],collingwood,2015
578,collingwood enterprise bulletin,['Collingwood'],collingwood,2015
574,collingwood enterprise bulletin,['Collingwood'],collingwood,2016
579,collingwood enterprise bulletin,['Collingwood'],collingwood,2016
575,collingwood enterprise bulletin,['Collingwood'],collingwood,2017
2590,exeter times advocate,['South Huron'],exeter,2013
2591,exeter times advocate,['South Huron'],exeter,2013
2592,exeter times advocate,['South Huron'],exeter,2014
2593,exeter times advocate,['South Huron'],exeter,2015
2594,exeter times advocate,['South Huron'],exeter,2016
2595,exeter times advocate,['South Huron'],exeter,2017
2596,exeter times advocate,['South Huron'],exeter,2018
2597,exeter times advocate,['South Huron'],exeter,2019
2598,exeter times advocate weekender,['South Huron'],exeter,2014
2599,exeter times advocate weekender,['South Huron'],exeter,2014
2600,exeter times advocate weekender,['South Huron'],exeter,2015
2601,exeter times advocate weekender,['South Huron'],exeter,2015
2602,exeter times advocate weekender,['South Huron'],exeter,2016
2603,exeter times advocate weekender,['South Huron'],exeter,2016
2604,exeter times advocate weekender,['South Huron'],exeter,2017
2605,exeter times advocate weekender,['South Huron'],exeter,2017
2606,exeter times advocate weekender,['South Huron'],exeter,2018
2607,exeter times advocate weekender,['South Huron'],exeter,2019
1634,fonthill pelham news,['Pelham'],fonthill,2013
1630,fonthill pelham news,['Pelham'],fonthill,2014
1635,fonthill pelham news,['Pelham'],fonthill,2014
1631,fonthill pelham news,['Pelham'],fonthill,2015
1636,fonthill pelham news,['Pelham'],fonthill,2015
1632,fonthill pelham news,['Pelham'],fonthill,2016
1637,fonthill pelham news,['Pelham'],fonthill,2016
1633,fonthill pelham news,['Pelham'],fonthill,2017
651,fort erie times,['Fort Erie'],fort%20erie,2013
652,fort erie times,['Fort Erie'],fort%20erie,2014
653,fort erie times,['Fort Erie'],fort%20erie,2015
654,fort erie times,['Fort Erie'],fort%20erie,2016
655,fort erie times,['Fort Erie'],fort%20erie,2017
663,frontenac gazette,['South Frontenac'],frontenac,2013
664,frontenac gazette,['South Frontenac'],frontenac,2014
665,frontenac gazette,['South Frontenac'],frontenac,2015
666,frontenac gazette,['South Frontenac'],frontenac,2016
667,frontenac gazette,['South Frontenac'],frontenac,2017
845,in port news,['Port Colborne'],port%20colborne,2013
846,in port news,['Port Colborne'],port%20colborne,2014
847,in port news,['Port Colborne'],port%20colborne,2015
848,in port news,['Port Colborne'],port%20colborne,2016
849,in port news,['Port Colborne'],port%20colborne,2017
939,kanata kourier standard,['Ottawa'],kanata,2013
940,kanata kourier standard,['Ottawa'],kanata,2014
941,kanata kourier standard,['Ottawa'],kanata,2015
942,kanata kourier standard,['Ottawa'],kanata,2016
943,kanata kourier standard,['Ottawa'],kanata,2017
986,kingston heritage,['Kingston'],kingston,2013
987,kingston heritage,['Kingston'],kingston,2014
988,kingston heritage,['Kingston'],kingston,2015
989,kingston heritage,['Kingston'],kingston,2016
990,kingston heritage,['Kingston'],kingston,2017
1152,meaford express,['Meaford'],meaford,2013
1153,meaford express,['Meaford'],meaford,2014
1154,meaford express,['Meaford'],meaford,2015
1155,meaford express,['Meaford'],meaford,2016
1156,meaford express,['Meaford'],meaford,2017
1263,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2013
1264,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2014
1265,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2015
1266,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2016
1267,nepean barrhaven news,['Ottawa'],nepean&barrhaven,2017
1362,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2013
1363,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2014
1364,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2015
1365,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2016
1366,niagara advance,['Niagara-on-the-Lake'],niagara%20on%20the%20lake,2017
1411,norfolk news,['Norfolk County'],norfolk,2014
1412,norfolk news,['Norfolk County'],norfolk,2015
1413,norfolk news,['Norfolk County'],norfolk,2016
1414,norfolk news,['Norfolk County'],norfolk,2017
1518,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
1520,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2013
1519,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2014
1521,northumberland today,"['Cramahe', 'Port Hope', 'Alnwick/Haldimand', 'Cobourg']",northumberland&cobourg&port%20hope&colborne,2014
1557,orleans news,['Ottawa'],orleans,2013
1558,orleans news,['Ottawa'],orleans,2014
1559,orleans news,['Ottawa'],orleans,2015
1560,orleans news,['Ottawa'],orleans,2016
1561,orleans news,['Ottawa'],orleans,2017
1609,ottawa east news,['Ottawa'],ottawa,2013
1610,ottawa east news,['Ottawa'],ottawa,2014
1611,ottawa east news,['Ottawa'],ottawa,2015
1612,ottawa east news,['Ottawa'],ottawa,2016
1613,ottawa east news,['Ottawa'],ottawa,2017
1614,ottawa south news,['Ottawa'],ottawa,2013
1615,ottawa south news,['Ottawa'],ottawa,2014
1616,ottawa south news,['Ottawa'],ottawa,2015
1617,ottawa south news,['Ottawa'],ottawa,2016
1618,ottawa south news,['Ottawa'],ottawa,2017
1619,ottawa west news,['Ottawa'],ottawa,2013
1620,ottawa west news,['Ottawa'],ottawa,2014
1621,ottawa west news,['Ottawa'],ottawa,2015
1622,ottawa west news,['Ottawa'],ottawa,2016
1623,ottawa west news,['Ottawa'],ottawa,2017
1624,our london,['London'],london,2016
1625,our london,['London'],london,2017
1707,quinte west news,['Quinte West'],quinte%20west,2013
1708,quinte west news,['Quinte West'],quinte%20west,2014
1709,quinte west news,['Quinte West'],quinte%20west,2015
1710,quinte west news,['Quinte West'],quinte%20west,2016
1711,quinte west news,['Quinte West'],quinte%20west,2017
2220,st. marys journal argus,['St. Marys'],st.%20marys,2013
923,st. marys journal argus,['St. Marys'],st.%20marys,2014
924,st. marys journal argus,['St. Marys'],st.%20marys,2015
925,st. marys journal argus,['St. Marys'],st.%20marys,2016
926,st. marys journal argus,['St. Marys'],st.%20marys,2017
927,st. marys journal argus weekender,['St. Marys'],st.%20marys,2013
928,st. marys journal argus weekender,['St. Marys'],st.%20marys,2014
929,st. marys journal argus weekender,['St. Marys'],st.%20marys,2015
930,st. marys journal argus weekender,['St. Marys'],st.%20marys,2016
931,st. marys journal argus weekender,['St. Marys'],st.%20marys,2017
2733,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2013
2734,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2014
2735,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2015
2736,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2016
2737,st. thomas elgin weekly news,"['Southwold', 'St. Thomas']",st.%20thomas&elgin,2017
406,stirling central hastings news,['Stirling-Rawdon'],stirling,2014
407,stirling central hastings news,['Stirling-Rawdon'],stirling,2015
408,stirling central hastings news,['Stirling-Rawdon'],stirling,2016
409,stirling central hastings news,['Stirling-Rawdon'],stirling,2017
2242,stittsville news,['Ottawa'],stittsville,2013
2243,stittsville news,['Ottawa'],stittsville,2014
2244,stittsville news,['Ottawa'],stittsville,2015
2245,stittsville news,['Ottawa'],stittsville,2016
2246,stittsville news,['Ottawa'],stittsville,2017
2254,stratford gazette,['Stratford'],stratford,2013
2255,stratford gazette,['Stratford'],stratford,2014
2256,stratford gazette,['Stratford'],stratford,2015
2257,stratford gazette,['Stratford'],stratford,2016
2258,stratford gazette,['Stratford'],stratford,2017
2573,thorold niagara news,['Thorold'],thorold,2013
2569,thorold niagara news,['Thorold'],thorold,2014
2570,thorold niagara news,['Thorold'],thorold,2015
2571,thorold niagara news,['Thorold'],thorold,2016
2572,thorold niagara news,['Thorold'],thorold,2017
2760,west carleton review,['Ottawa'],arnprior&west%20carleton,2013
2761,west carleton review,['Ottawa'],arnprior&west%20carleton,2014
2762,west carleton review,['Ottawa'],arnprior&west%20carleton,2015
2763,west carleton review,['Ottawa'],arnprior&west%20carleton,2016
2764,west carleton review,['Ottawa'],arnprior&west%20carleton,2017
