,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2
1,arthur enterprise news,,0.93,,1160.0,10.0,161.0,10.0,2017,2015.0,2.0,Wednesday,9,7,,0.93,,1160.0,arthur enterprise news,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
10,barrys bay this week,,0.8,171.0,235.0,9.0,158.0,3,2014,2012.0,2.0,Wednesday,23,18,,0.8,171.0,235.0,barrys bay this week,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11,beeton new tecumseth times,2092.0,1.02,158.0,473.0,6.0,210.0,5.0,2013,2012.0,1.0,Thursday,24,19,2092.0,1.02,158.0,473.0,beeton new tecumseth times,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12,beeton new tecumseth times,1853.0,1.02,88.0,176.0,6.0,210.0,5,2014,2013.0,1.0,Thursday,24,19,1853.0,1.02,88.0,176.0,beeton new tecumseth times,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
13,beeton new tecumseth times,1409.0,1.02,88.0,176.0,6.0,210.0,5.0,2015,2014.0,1.0,Thursday,24,19,1409.0,1.02,88.0,176.0,beeton new tecumseth times,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
22,burlington de nederlandse courant,,1.31,235.0,235.0,5.0,224.0,4,2014,0.0,2014.0,Monthly,45,37,,1.31,235.0,235.0,burlington de nederlandse courant,left_only,,Burlington,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
23,burlington de nederlandse courant,,1.47,201.0,201.0,4.0,137.0,4,2015,0.0,2015.0,Monthly,45,37,,1.47,201.0,201.0,burlington de nederlandse courant,left_only,,Burlington,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
24,burlington de nederlandse courant,,1.47,,201.0,4.0,137.0,2.0,2016,0.0,2016.0,Monthly,45,37,,1.47,,201.0,burlington de nederlandse courant,left_only,,Burlington,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
28,chesterville record,,0.82,,294.0,6.0,217.0,5.0,2018,2016.0,2.0,Wednesday,63,49,,0.82,,294.0,chesterville record,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
29,chesterville record,,0.82,,294.0,6.0,217.0,5.0,2019,2017.0,2.0,Wednesday,63,49,,0.82,,294.0,chesterville record,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
40,dryden the rising sun,,1.89,,433.0,6.0,160.0,5.0,2017,0.0,2017.0,Friday,85,66,,1.89,,433.0,dryden the rising sun,left_only,,Dryden,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
