Newspaper,Year
banner,1
barrys bay this week,1
beach  east york neighbourhood voice,1
blue mountains courierherald,1
campbellford northwest emc,1
city centre york mirror,1
etc...news,1
innisfil scope,1
lambtonmiddlesex standard,1
leader spirit,1
mississauga news this week,1
muskoka district weekender,1
newmarket aurora era banner aurora banner,1
northern news this week,1
oakville today,1
observer and news,1
"ottawa community voice, alta vistacanterbury",1
"ottawa community voice, greenborosouth keys",1
"ottawa community voice, hunt clubriverside park",1
"ottawa community voice, west carleton",1
russell villager,1
stirling northeast emc,1
streeter central toronto,1
streeter forest hill,1
streeter leaside,1
streeter north toronto,1
the burford advance,1
the community press   la presse communautaire,1
the free press,1
the lindsay post,1
vaughan weekly,1
york  city centre neighbourhood voice,1
