"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13"
"1001101","10","Newfoundland and Labrador","01","Division No. 1","101","Division No. 1, Subd. V ",36.00,62.00,-41.90,140.00,19.00,0.00,894.15
"1001105","10","Newfoundland and Labrador","01","Division No. 1","105","Portugal Cove South ",150.00,160.00,-6.30,91.00,69.00,131.50,1.14
"1001113","10","Newfoundland and Labrador","01","Division No. 1","113","Trepassey ",481.00,570.00,-15.60,356.00,245.00,8.60,55.88
"1001120","10","Newfoundland and Labrador","01","Division No. 1","120","St. Shott's ",66.00,81.00,-18.50,52.00,38.00,58.40,1.13
"1001124","10","Newfoundland and Labrador","01","Division No. 1","124","Division No. 1, Subd. U ",1625.00,1513.00,7.40,1630.00,697.00,2.20,754.35
"1001126","10","Newfoundland and Labrador","01","Division No. 1","126","Cape Broyle ",489.00,506.00,-3.40,291.00,211.00,48.60,10.05
"1001131","10","Newfoundland and Labrador","01","Division No. 1","131","Renews-Cappahayden ",301.00,310.00,-2.90,346.00,148.00,2.40,127.89
"1001136","10","Newfoundland and Labrador","01","Division No. 1","136","Fermeuse ",325.00,323.00,0.60,178.00,134.00,8.40,38.76
"1001140","10","Newfoundland and Labrador","01","Division No. 1","140","Port Kirwan ",52.00,65.00,-20.00,64.00,27.00,5.70,9.19
"1001144","10","Newfoundland and Labrador","01","Division No. 1","144","Aquaforte ",80.00,83.00,-3.60,71.00,41.00,11.70,6.82
"1001149","10","Newfoundland and Labrador","01","Division No. 1","149","Ferryland ",414.00,465.00,-11.00,254.00,190.00,30.40,13.62
"1001155","10","Newfoundland and Labrador","01","Division No. 1","155","Division No. 1, Subd. W ",435.00,511.00,-14.90,893.00,214.00,0.50,843.33
"1001169","10","Newfoundland and Labrador","01","Division No. 1","169","St. Vincent's-St. Stephen's-Peter's River ",313.00,340.00,-7.90,221.00,156.00,3.60,87.50
"1001174","10","Newfoundland and Labrador","01","Division No. 1","174","Gaskiers-Point La Haye ",232.00,233.00,-0.40,145.00,118.00,9.70,23.81
"1001178","10","Newfoundland and Labrador","01","Division No. 1","178","St. Mary's ",347.00,439.00,-21.00,216.00,170.00,9.40,37.05
"1001181","10","Newfoundland and Labrador","01","Division No. 1","181","Riverhead ",185.00,212.00,-12.70,153.00,83.00,1.80,105.63
"1001186","10","Newfoundland and Labrador","01","Division No. 1","186","Admirals Beach ",135.00,153.00,-11.80,80.00,62.00,5.50,24.42
"1001192","10","Newfoundland and Labrador","01","Division No. 1","192","St. Joseph's ",115.00,115.00,0.00,114.00,58.00,3.60,32.31
"1001197","10","Newfoundland and Labrador","01","Division No. 1","197","Mount Carmel-Mitchells Brook-St. Catherine's ",349.00,358.00,-2.50,302.00,163.00,5.70,61.72
"1001203","10","Newfoundland and Labrador","01","Division No. 1","203","Division No. 1, Subd. X ",513.00,506.00,1.40,754.00,235.00,0.90,571.00
"1001207","10","Newfoundland and Labrador","01","Division No. 1","207","Colinet ",80.00,110.00,-27.30,73.00,39.00,12.80,6.24
"1001214","10","Newfoundland and Labrador","01","Division No. 1","214","Division No. 1, Subd. C ",100.00,131.00,-23.70,140.00,52.00,0.10,833.08
"1001219","10","Newfoundland and Labrador","01","Division No. 1","219","Branch ",228.00,247.00,-7.70,174.00,108.00,14.10,16.15
