,CSDs,Others,metroland media group ltd.,postmedia network inc.
0,Alnwick/Haldimand,0.0,0.0,0.0
1,Barrie,1.0,1.0,0.0
2,Belleville,1.0,0.0,1.0
3,Bradford West Gwillimbury,0.0,1.0,0.0
4,Brantford,0.0,0.0,1.0
5,Brockville,1.0,0.0,0.0
6,Cobourg,0.0,1.0,0.0
7,Collingwood,0.0,1.0,0.0
8,Cramahe,0.0,1.0,0.0
9,Fort Erie,0.0,1.0,0.0
10,Innisfil,0.0,1.0,0.0
11,Kingston,1.0,0.0,1.0
12,London,4.0,0.0,1.0
13,Meaford,1.0,0.0,0.0
14,Niagara-on-the-Lake,0.0,1.0,0.0
15,Norfolk County,2.0,0.0,1.0
16,Orillia,1.0,1.0,0.0
17,Ottawa,9.0,0.0,0.0
18,Pelham,2.0,2.0,0.0
19,Peterborough,1.0,2.0,0.0
20,Port Colborne,0.0,1.0,0.0
21,Port Hope,0.0,1.0,0.0
22,Quinte West,2.0,0.0,1.0
23,South Frontenac,0.0,0.0,1.0
24,South Huron,0.0,0.0,2.0
25,Southwold,0.0,0.0,0.0
26,St. Catharines,1.0,1.0,0.0
27,St. Marys,1.0,0.0,0.0
28,St. Thomas,0.0,0.0,0.0
29,Stirling-Rawdon,0.0,0.0,0.0
30,Stratford,0.0,0.0,1.0
31,Thorold,0.0,0.0,0.0
32,Welland,1.0,1.0,0.0
33,Alnwick/HaldimandBarrieBellevilleBradford West GwillimburyBrantfordBrockvilleCobourgCollingwoodCramaheFort ErieInnisfilKingstonLondonMeafordNiagara-on-the-LakeNorfolk CountyOrilliaOttawaPelhamPeterboroughPort ColbornePort HopeQuinte WestSouth FrontenacSouth HuronSouthwoldSt. CatharinesSt. MarysSt. ThomasStirling-RawdonStratfordThoroldWelland,0.0,0.0,0.0
34,Alnwick/HaldimandBarrieBellevilleBradford West GwillimburyBrantfordBrockvilleCobourgCollingwoodCramaheFort ErieInnisfilKingstonLondonMeafordNiagara-on-the-LakeNorfolk CountyOrilliaOttawaPelhamPeterboroughPort ColbornePort HopeQuinte WestSouth FrontenacSouth HuronSouthwoldSt. CatharinesSt. MarysSt. ThomasStirling-RawdonStratfordThoroldWellandAlnwick/HaldimandBarrieBellevilleBradford West GwillimburyBrantfordBrockvilleCobourgCollingwoodCramaheFort ErieInnisfilKingstonLondonMeafordNiagara-on-the-LakeNorfolk CountyOrilliaOttawaPelhamPeterboroughPort ColbornePort HopeQuinte WestSouth FrontenacSouth HuronSouthwoldSt. CatharinesSt. MarysSt. ThomasStirling-RawdonStratfordThoroldWelland,29.0,17.0,10.0
