,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2
0,,,,,,,,,2013,,,,,,,,,,Barrie Examiner,,,,,,0.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,['Barrie'],1.0,1.0,2013.0,0.0,0.0,0.0,0.0,,right_only
3,,,,,,,,,2014,,,,,,,,,,Barrie Examiner,,,,,,3.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,['Barrie'],4.0,4.0,2014.0,0.0,0.0,0.0,0.0,,right_only
6,,,,,,,,,2015,,,,,,,,,,Barrie Examiner,,,,,,6.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,['Barrie'],7.0,7.0,2015.0,0.0,0.0,0.0,0.0,,right_only
9,,,,,,,,,2016,,,,,,,,,,Barrie Examiner,,,,,,9.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,['Barrie'],10.0,10.0,2016.0,0.0,0.0,0.0,0.0,,right_only
12,,,,,,,,,2017,,,,,,,,,,Barrie Examiner,,,,,,12.0,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,['Barrie'],13.0,13.0,2017.0,0.0,0.0,0.0,0.0,,right_only
1,,,,,,,,,2013,,,,,,,,,,Innisfil Examiner,,,,,,1.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,['Innisfil'],2.0,2.0,2013.0,0.0,0.0,0.0,0.0,,right_only
4,,,,,,,,,2014,,,,,,,,,,Innisfil Examiner,,,,,,4.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,['Innisfil'],5.0,5.0,2014.0,0.0,0.0,0.0,0.0,,right_only
7,,,,,,,,,2015,,,,,,,,,,Innisfil Examiner,,,,,,7.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,['Innisfil'],8.0,8.0,2015.0,0.0,0.0,0.0,0.0,,right_only
10,,,,,,,,,2016,,,,,,,,,,Innisfil Examiner,,,,,,10.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,['Innisfil'],11.0,11.0,2016.0,0.0,0.0,0.0,0.0,,right_only
13,,,,,,,,,2017,,,,,,,,,,Innisfil Examiner,,,,,,13.0,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,1.0,['Innisfil'],14.0,14.0,2017.0,0.0,0.0,0.0,0.0,,right_only
