,MarketAndNewspaper
0,london sarnia woodstock action l
1,flesherton advance
2,woodbridge advertiser
3,mitchell advocate
4,strathroy age dispatch
5,strathroy middlesex age dispatch
6,alliston herald
7,burks falls almaguin news
8,ancaster news
9,toronto annex gleaner
10,arnprior chronicle guide
11,arthur enterprise news
12,atikokan progress
13,aylmer express
14,ayr news
15,bancroft this week
16,bancroft times
17,aurora banner
18,barrhaven independent
19,barrie advance
20,barrys bay this week
21,toronto bayview post
22,beach east york neighbourhood voice
23,toronto beach metro community news
24,toronto beachriverdale mirror
25,parry sound beacon star
26,oakville beaver
27,beeton new tecumseth times
28,belleville news
29,mount forest bizbull
30,toronto bloor west villager
31,toronto bloor westparkdale villager
32,blue mountains courierherald
33,bracebridge examiner
34,bradford west gwillimbury times
35,bradford west gwillimbury topic
36,brampton guardian
37,brantford brant news
38,"brantford expositor, your tmc newspaper"
39,brighton independent
40,brock citizen
41,tobermory bruce peninsula press
42,burford times
43,burlington post
44,caledon citizen
45,caledon enterprise
46,cambridge times
47,campbellford northwest emc
48,milton canadian champion
49,toronto canadian jewish news
50,kawartha lakes north durham caps community news
51,carleton placealmonte canadian gazette
52,stirling northeast central hastings news
53,stirling campbellford central hastings trent hill news
54,west elgin chronicle
55,cfb borden citizen
56,blyth brussels citizen
57,toronto city centre mirror annex guardian
58,toronto city centre york mirror
59,clarington this week
60,cochrane timespost
61,drayton community news
62,cfb trenton contact
63,haliburton county echo
64,haliburton county life
65,wallaceburg courier press
66,creemore echo
67,ignace driftwood
68,dryden observer
69,dundas star news
70,east gwillimbury express
71,east york mirror
72,markham economist sun
73,eganville leader
74,elmira independent
75,elmira independent express
76,ottawa embassy
77,iroquois falls enterprise
78,collingwood enterprise bulletin
79,toronto epoch times
80,newmarket aurora era banner
81,essex free press
82,toronto etc...news
83,etobicoke guardian
84,chapleau express
85,cornwall express
86,ottawa express dottawa l
87,toronto express l
88,waterdown flamborough review
89,toronto forest hill town crier
90,fort erie times
91,fort frances times
92,frontenac gazette
93,parkhill gazette
94,nipigon red rock gazette
95,norwich gazette
96,tavistock gazette
97,parkhill glencoe gazette transcript free press
98,parkhill gazette transcript free press
99,keswick georgina advocate
100,glanbrook gazette
101,alexandria glengarry news
102,penetanguishene gout de vivre le
103,gravenhurst banner
104,hanover grey bruce this week
105,grimsby lincoln news
106,cfsu ottawa guard of honour
107,guelph mercury tribune
108,watford guide advocate
109,hagersville cayuga haldimand press
110,dundalk herald
111,thamesville herald
112,walkerton herald times
113,haliburton highlander
114,bancroft wilberforce highlands courier
115,ottawa hill times
116,kapuskasing horizon
117,huntsville forester
118,seaforth huron expositor
119,in port news
120,georgetown acton independent free press
121,tillsonburg independent news
122,ridgetown independent news
123,hamilton burlington information l
124,ingersoll times
125,innisfil journal
126,innisfil scope
127,hornepayne jackfish journal
128,wheatley journal
129,journal de cornwall le
130,kanata kourier standard
131,kawartha lakes this week
132,kemptville advance
133,kincardine news
134,king connection
135,kingston frontenac this week
136,kingston heritage
137,kingsville reporter
138,"kitchener citizen, east edition"
139,"kitchener citizen, west edition"
140,kitchener post
141,port stanley lake erie beacon
142,kenora lake of the woods enterprise
143,lakefield herald
144,grand bend zurich lakeshore advance
145,belle river lakeshore news
146,lambton-middlesex lambtonmiddlesex standard
147,lasalle post
148,hawkesbury le carillon
149,hearst le nord
150,hawkesbury le regional
151,hamilton niagara kitchener welland le regional
152,sudbury le voyageur
153,dresden bothwell leader spirit
154,toronto leasiderosedale town crier
155,listowel banner
156,listowel independent plus
157,london community news
158,manitoulin expositor
159,gore bay manitoulin west recorder
160,manotick messenger
161,manotick news
162,stratford marketplace
163,meaford express
164,marathon mercury
165,toronto metro courrier le
166,toronto metropolitain le
167,lucan ailsa craig ilderton middlesex banner
168,espanola midnorth monitor
169,toronto midtown post
170,millbrook times
171,harriston minto express
172,mississauga news
173,mississauga news apartment edition
174,mississauga news this week
175,mount forest confederate
176,hamilton mountain news
177,muskoka district weekender
178,bracebridge muskoka sun
179,muskoka muskokaregion.com
180,napanee beaver
181,napanee guide
182,nepean barrhaven news
183,brantford new credit reporter
184,new hamburg independent
185,new tecumseth times
186,newmarket aurora era banner aurora banner
187,tillsonburg news
188,embrun news
189,terrace bay schreiber news
190,ajax pickering news advertiser
191,fergus elora news express
192,clinton news record
193,grimsby lincoln west lincoln newsnow
194,delhi newsrecord
195,blenheim newstribune
196,niagara advance
197,niagara this week
198,niagara this week town crier
199,"niagara this week, fort erie post"
200,"port colborne niagara this week, the leader"
201,north bay nipissing news
202,norfolk news
203,oxford mills north grenville times
204,north grenville times
205,deep river north renfrew times
206,thessalon north shore sentinel
207,parry sound north star
208,north toronto post
209,north toronto town crier
210,north york mirror
211,toronto north york post
212,sudbury northern life
213,kirkland lake northern news
214,kirkland lake northern news this week
215,red lake northern sun news
216,kapuskasing northern times
217,cobourg port hope colborne northumberland news
218,northumberland today
219,timmins nouvelles les
220,oakville today
221,london observateur l
222,elmira woolwich observer
223,pembroke observer and news
224,orangeville citizen
225,orillia today
226,orleans news
227,orleans star
228,orono weekly times
229,oshawa express
230,oshawa this week
231,"ottawa community voice, alta vistacanterbury"
232,"ottawa community voice, greenborosouth keys"
233,"ottawa community voice, hunt clubriverside park"
234,"ottawa community voice, kanatastittsville"
235,"ottawa community voice, west carleton"
236,ottawa east news
237,ottawa south news
238,ottawa west news
239,our london
240,toronto parkdaleliberty villager
241,fonthill pelham news
242,perth courier
243,peterborough this week
244,petrolia topic
245,picton county weekly news
246,prince edward picton gazette
247,port dover maple leaf
248,port perry star
249,petawawa post
250,cfb petawawa post
251,prescott journal
252,quinte west news
253,rainy river record
254,chesterville record
255,mattawa recorder
256,embrun reflet
257,windsor rempart le
258,renfrew mercury
259,gananoque reporter
260,westport review mirror
261,toronto richmond hill post
262,amherstburg river town times
263,russell villager
264,caledonia sachem extra haldimand county news
265,salam toronto
266,sarnia journal
267,sarnia lambton this week
268,scarborough mirror
269,london scene
270,cornwall seaway news
271,lucknow sentinel
272,shelburne free press economist
273,port elgin shoreline beacon
274,tecumseh st. clair beach windsor shoreline week
275,goderich signalstar
276,dorchester signpost
277,sioux lookout bulletin
278,smiths falls record news
279,snap 1000 islands
280,snap ajax
281,toronto snap annex
282,snap aurora
283,snap barrie
284,toronto snap beach danforth
285,toronto snap bloor west
286,snap brampton
287,snap burlington
288,toronto snap cabbagetown
289,snap caledon
290,snap cambridge
291,snap clarington
292,toronto snap college
293,snap downtown toronto
294,snap dufferin
295,snap etobicoke
296,snap georgina
297,snap guelph
298,haldimand-norfolk snap haldimandnorfolk
299,snap hamilton
300,snap ingersoll
301,snap kingston
302,snap kitchener waterloo
303,snap london
304,snap markham
305,snap midland penetang
306,snap milton
307,snap newmarket
308,snap niagara falls
309,snap north bay
310,snap north mississauga
311,snap north toronto
312,toronto snap north york
313,snap northumberland west
314,snap oakville
315,snap orillia
316,snap oshawa
317,snap perth
318,snap peterborough
319,snap pickering
320,toronto snap queen
321,snap quinte
322,snap richmond hill
323,snap sault ste. marie
324,snap scarborough
325,snap south mississauga
326,snap south simcoe
327,snap st. catharines
328,snap st. lawrence
329,snap stouffville uxbridge
330,snap sudbury
331,snap tillsonburg
332,snap toronto central
333,snap vaughan east
334,toronto snap village
335,snap whitby
336,snap windsor
337,snap woodbridge
338,snap woodstock
339,kincardine south bruce independent extra
340,sudbury south side story
341,leamington southpoint sun
