,Newspaper
0,ajax pickering news advertiser
1,alexandria glengarry news
2,alliston herald
3,amherstburg river town times
4,ancaster news
5,arnprior chronicle guide
6,arthur enterprise news
7,atikokan progress
8,aurora the auroran
9,aylmer express
10,ayr news
11,bancroft this week
12,bancroft times
13,barrhaven independent
14,barrie advance
15,barrie advance innisfil journal
16,barrys bay the valley gazette
17,barrys bay this week
18,beeton new tecumseth times
19,belle river lakeshore news
20,belleville news
21,belleville region the community press
22,blenheim news tribune
23,blyth brussels citizen
24,bracebridge examiner
25,bradford west gwillimbury topic
26,brampton guardian
27,brantford brant news
28,brantford expositor your tmc newspaper
29,brantford your brant connection
30,brighton independent
31,brighton independent northumberland news
32,brock citizen
33,brockville st. lawrence news
34,bruce peninsula press
35,burks falls almaguin news
36,burlington de nederlandse courant
37,burlington post
38,burlington post flamborough review
39,caledon citizen
40,caledon enterprise
41,cambridge times
42,campbellford northwest emc
43,campbellford trent hills independent
44,carleton place almonte canadian gazette
45,central hastings trent hills news
46,chatham kent this week
47,chatham this week
48,chatham voice
49,chesterville record
50,clarington this week
51,clinton news record
52,cochrane times post
53,collingwood connection
54,collingwood connection wasaga stayner sun
55,collingwood enterprise bulletin
56,cornwall express
57,cornwall seaway news
58,creemore echo
59,deep river north renfrew times
60,delhi news record
61,dorchester signpost
62,drayton community news
63,dresden bothwell leader spirit
64,dryden observer
65,dryden observer red lake northern sun news
66,dryden the rising sun
67,dundalk herald
68,dundas star news
69,east gwillimbury express
70,east york beach neighbourhood voice
71,east york riverdale beach mirror
72,eganville leader
73,elliot lake the standard
74,elmira independent
75,elmira woolwich observer
76,elmvale springwater news
77,erin advocate
78,espanola mid north monitor
79,essex free press
80,etobicoke guardian
81,exeter times advocate
82,exeter times advocate weekender
83,fergus elora news express
84,fergus wellington advertiser
85,flesherton advance
86,forest standard
87,forest watford standard guide advocate
88,fort erie times
89,fort frances times
90,frontenac gazette
91,frontenac news
92,gananoque reporter
93,georgetown acton independent free press
94,georgina advocate
95,geraldton times star
96,glanbrook gazette
97,glencoe transcript free press
98,goderich signal star
99,grand bend lakeshore advance
100,gravenhurst banner
101,grey bruce this week
102,grimsby lincoln news
103,grimsby lincoln west lincoln news now
104,guelph mercury tribune
105,hagersville cayuga haldimand press
106,haldimand county haldimand press
107,haldimand county the sachem
108,haliburton county echo
109,haliburton county life
110,haliburton highlander
111,hamilton burlington bay observer
112,hamilton mountain news
113,hanover the post
114,harrow news
115,hawkesbury le carillon
116,hornepayne jackfish journal
117,hornepayne wicksteed weekly
118,huntsville forester
119,ignace driftwood
