,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,Population,PopulationGrowth,Age,Income,Education,NofID2,FreeCirculation_Sum_Others,TotalCirculation_Sum_Others,PaidCirculation_Sum_Others,FreeCirculation_Sum_PM,TotalCirculatinn_Sum_PM,PaidCirculation_Sum_PM,PMShare,PMNofID2,MeanMarketRate,PMMeanMarketRate,MeanCirc,PMMeanCirc,mean_MeanMarketRate_before_2017,mean_PMMeanMarketRate_before_2017,mean_NofID2_before_2017,mean_PMNofID2_before_2017,mean_MeanMarketRate_after_2017,mean_PMMeanMarketRate_after_2017,mean_NofID2_after_2017,mean_PMNofID2_after_2017,MeanMarketRate_2013,MeanMarketRate_2014,MeanMarketRate_2015,MeanMarketRate_2016,MeanMarketRate_2017,MeanMarketRate_2018,MeanMarketRate_2019,PMMeanMarketRate_2013,PMMeanMarketRate_2014,PMMeanMarketRate_2015,PMMeanMarketRate_2016,PMMeanMarketRate_2017,PMMeanMarketRate_2018,PMMeanMarketRate_2019,PMMeanMarketRate_PreTrend,MeanMarketRate_PreTrend,PMMeanMarketRate_PostTrend,MeanMarketRate_PostTrend,TMarket
4,,,,,,,,,2017,,,,,,,,cfb borden citizen,,,[nan],,Friday,,T,cfb%20borden,citizen,department of national defence,0.0,ON,,department of national defence,"['cfb borden ,ON, Canada']","[(44.2716234, -79.9123591)]",citizen,,,,,0.0,cfb borden,0.0,0.0,0,Adjala-Tosorontio,2013.0,1.0,,0.0,,Friday,right_only,77,59,0,1,0,1,1,1,0,0,0,0,1,['Simcoe'],0,0,0,2383,3543003,35,ON,43,Simcoe,3,Adjala-Tosorontio,9.312445594913337,4.639571612705423,4.953712146696635,10.569700234355869,7.3098814858247865,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0
11,ajax pickering news advertiser,52844.0,4.94,,1160.0,10.0,161.0,10.0,2017,2016.0,1.0,Thursday,52844.0,4.94,,1160.0,ajax pickering news advertiser,both,,[nan],,Friday,52859.33333333333,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52859.33333333333,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']","[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0,Ajax,2013.0,1.0,52736.5,0.0,52736.5,Friday,right_imperfect_match,8,8,0,1,0,1,1,1,1,0,1,1,1,"['Durham', 'Durham']",0,1,1,2225,3518005,35,ON,18,Durham,5,Ajax,11.693386959587285,4.693181063310805,4.922168312773925,10.497007749286007,10.060063859578225,3,0.0,0.0,0.0,52859.33333333333,52859.33333333333,0.0,1.0,1.0,4.94,4.94,52736.5,52736.5,4.498,4.856,2.6,1.0,4.94,4.94,3.0,1.0,2.7299999999999995,4.94,4.94,4.94,4.94,4.94,4.94,4.52,4.94,4.94,4.94,4.94,4.94,4.94,0.08400000000000044,0.44200000000000034,-8.881784197001252e-16,-8.881784197001252e-16,0
18,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Friday,,1.218,,353.0,northumberland today,both,,[nan],,Friday,,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,,ON,,,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,,,,Thursday,left_only,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970721788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.218,1.218,,,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
21,,,,,,,,,2017,,,,,,,,snap dufferin,,,[nan],,Monthly,,T,dufferin%20&orangeville,snap dufferin,snapd inc.,0.0,ON,,snapd inc.,"['dufferin  ,ON, Canada', 'orangeville ,ON, Canada']","[(44.0497496, -80.1691941), (43.9193171, -80.0973754)]",,,,,,0.0,dufferin  orangeville,0.0,0.0,0,Amaranth,2015.0,1.0,,0.0,,Monthly,right_only,425,318,0,1,0,1,1,1,0,0,0,0,1,"['Dufferin', 'Dufferin']",0,0,0,2248,3522008,35,ON,22,Dufferin,8,Amaranth,8.337827262447915,4.633757642840004,4.944495491591711,10.47779488921454,6.309918278226516,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,1.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0
28,amherstburg river town times,9232.5,0.79,,382.0,6.0,210.0,5.0,2017,2015.0,2.0,Wednesday,9232.5,0.79,,382.0,amherstburg river town times,both,,[nan],,Wednesday,9280.0,T,amherstburg,river town times,river town times,0.0,ON,9280.0,river town times,"['amherstburg ,ON, Canada']","[(42.1013315, -83.1086458)]",river town times,,,,,0.0,amherstburg,0.0,0.0,0,Amherstburg,2013.0,0.0,9280.0,0.0,9280.0,Wednesday,perfect_match,14,11,0,1,0,1,1,1,1,0,1,1,1,['Essex'],0,0,0,2323,3537028,35,ON,37,Essex,28,Amherstburg,10.000432758592607,4.623010104116422,4.957937505095806,10.587064080156123,8.022896869601457,1,9280.0,9280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,,9280.0,,0.785,,1.0,0.0,0.79,,1.0,0.0,0.77,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,0.0039999999999999905,,-1.1102230246251565e-16,0
35,arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2017,2015.0,2.0,Thursday,,0.87,,1160.0,arnprior chronicle guide,both,,[nan],,Thursday,8114.0,T,arnprior,arnprior chronicle guide,metroland media group ltd.,0.0,ON,8114.0,metroland media group ltd.,"['arnprior ,ON, Canada']","[(45.433515, -76.3543692)]",,,,,,0.0,arnprior,0.0,0.0,0,Arnprior,2013.0,0.0,8114.0,0.0,8114.0,Thursday,perfect_match,16,13,0,1,0,1,1,1,1,0,1,1,1,['Renfrew'\,0,1,1,2416,3547002,35,ON,47,Renfrew,2,Arnprior,9.093244600099936,4.685828089005546,4.979488565099419,10.42462977670407,6.882437470997847,1,0.0,0.0,0.0,8114.0,8114.0,0.0,1.0,1.0,0.87,0.87,8114.0,8114.0,0.885,0.885,1.0,1.0,0.87,0.87,1.0,1.0,1.06,0.74,0.87,0.87,0.87,0.87,0.87,1.06,0.74,0.87,0.87,0.87,0.87,0.87,-0.025,-0.025,-1.1102230246251565e-16,-1.1102230246251565e-16,0
42,atikokan progress,1113.0,0.88,,471.0,5.0,210.0,4.0,2017,2016.0,1.0,Monday,1113.0,0.88,,471.0,atikokan progress,both,,[nan],,Monday,34.0,T,atikokan,atikokan progress,atikokan printing (1994) ltd.,1047.0,ON,1081.0,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']","[(48.762526, -91.624603)]",,,,,,0.0,atikokan,0.0,0.0,0,Atikokan,2013.0,0.0,34.0,1047.0,1081.0,Monday,perfect_match,19,15,1,1,1,1,1,1,1,1,1,1,1,['Rainy River'],0,0,0,2628,3559001,35,ON,59,Rainy River,1,Atikokan,7.9561263512135,4.593097604753822,4.9849755473156785,10.41406314504691,5.736572297479192,1,34.0,1081.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.88,,1081.0,,0.8325,,1.0,0.0,0.88,,1.0,0.0,0.79,0.82,0.86,0.86,0.88,0.88,0.88,,,,,,,,,0.021999999999999985,,-1.1102230246251565e-16,0
49,aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2017,2015.0,2.0,Thursday,,0.57,,176.0,aurora the auroran,both,,[nan],,Thursday,18174.0,T,aurora,the auroran,london publishing corporation,,ON,,london publishing corporation,"['aurora ,ON, Canada']","[(43.99973, -79.467545)]",,,,,,0.0,aurora,0.0,0.0,0,Aurora,2014.0,0.0,18174.0,,,Wednesday,left_imperfect_match,22,17,1,1,1,1,1,1,0,0,1,0,1,['York'],0,0,0,2237,3519046,35,ON,19,York,46,Aurora,10.924948782015823,4.646312129319266,4.938781190328272,10.60861270985548,9.66523036341187,4,18174.0,0.0,0.0,22841.5,22841.5,0.0,1.0,2.0,1.4449999999999998,2.32,15946.0,15946.0,1.7100980392156861,2.407843137254902,4.294117647058823,2.764705882352941,1.0899999999999999,2.39,3.5714285714285716,1.5714285714285714,1.88,2.1366666666666667,1.4449999999999998,1.4449999999999998,1.4449999999999998,1.48,0.57,2.0933333333333333,2.92,2.32,2.32,2.32,2.39,,-0.014666666666666635,-0.15616666666666662,0.06999999999999933,-0.43750000000000017,0
56,aylmer express,,0.8,,294.0,8.0,294.0,2.0,2017,2014.0,3.0,Wednesday,,0.8,,294.0,aylmer express,both,,[nan],,Wednesday,14.0,B,aylmer,aylmer express,aylmer express ltd.,3076.0,ON,3090.0,aylmer express ltd.,"['aylmer ,ON, Canada']","[(42.773227, -80.983658)]",,,,,,0.0,aylmer,0.0,0.0,0,Aylmer,2013.0,0.0,14.0,3076.0,3090.0,Wednesday,perfect_match,25,18,1,1,1,1,1,1,0,1,1,0,1,['Elgin'],0,0,0,2311,3534011,35,ON,34,Elgin,11,Aylmer,8.934850340289763,4.6520537718869415,4.941642422609304,10.230522540940477,6.413458957167357,1,14.0,3090.0,3076.0,0.0,0.0,0.0,0.0,0.0,0.8,,3090.0,,0.7725,,1.0,0.0,0.81,,1.0,0.0,0.75,0.77,0.78,0.79,0.8,0.81,0.81,,,,,,,,,0.011999999999999997,,0.004999999999999893,0
63,bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2017,2015.0,2.0,Friday,,0.82,,235.0,bancroft this week,both,,[nan],,Friday,8962.0,T,bancroft,bancroft this week,white pine media corp.,0.0,ON,8962.0,maple key media,"['bancroft ,ON, Canada']","[(45.0570769, -77.8537127)]",,,,,,0.0,bancroft,0.0,0.0,0,Bancroft,2013.0,0.0,8962.0,0.0,8962.0,Friday,perfect_match,27,20,0,1,0,1,1,1,0,0,1,0,1,['Hastings'],0,0,0,2200,3512061,35,ON,12,Hastings,61,Bancroft,8.289288323000317,4.605170185988092,5.002603122398992,10.132215482144238,6.040254711277414,3,8962.0,11661.0,2699.0,0.0,0.0,0.0,0.0,0.0,0.74,,5830.5,,0.7775,,3.0,0.0,0.71,,3.0,0.0,0.815,0.815,0.74,0.74,0.74,0.74,0.6799999999999999,,,,,,,,,-0.02249999999999998,,-0.030000000000000138,0
