,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,Population,PopulationGrowth,Age,Income,Education,NofID2,FreeCirculation_Sum_Others,TotalCirculation_Sum_Others,PaidCirculation_Sum_Others,FreeCirculation_Sum_PM,TotalCirculatinn_Sum_PM,PaidCirculation_Sum_PM,PMShare,PMNofID2,MeanMarketRate,PMMeanMarketRate,MeanCirc,PMMeanCirc,mean_MeanMarketRate_before_2017,mean_PMMeanMarketRate_before_2017,mean_NofID2_before_2017,mean_PMNofID2_before_2017,mean_MeanMarketRate_after_2017,mean_PMMeanMarketRate_after_2017,mean_NofID2_after_2017,mean_PMNofID2_after_2017,MeanMarketRate_2013,MeanMarketRate_2014,MeanMarketRate_2015,MeanMarketRate_2016,MeanMarketRate_2017,MeanMarketRate_2018,MeanMarketRate_2019,PMMeanMarketRate_2013,PMMeanMarketRate_2014,PMMeanMarketRate_2015,PMMeanMarketRate_2016,PMMeanMarketRate_2017,PMMeanMarketRate_2018,PMMeanMarketRate_2019,PMMeanMarketRate_PreTrend,MeanMarketRate_PreTrend,PMMeanMarketRate_PostTrend,MeanMarketRate_PostTrend,TMarket
14,northumberland today.com,3806.0,1.12,118.0,353.0,10.0,301.0,3.0,2013,2012.0,1.0,Friday,3806.0,1.198,118.0,353.0,northumberland today,both,,[nan],,Friday,8389.0,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,1816.0,ON,10205.0,sun media corporatinn,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,8389.0,1816.0,10205.0,Thursday,left_imperfect_match,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970731788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,8389.0,10205.0,1816.0,1.0,1.0,1.198,1.198,10205.0,10205.0,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
15,northumberland today.com,5785.111111111111,1.14,118.0,353.0,10.0,301.0,3,2014,2012.0,2.0,Friday,6350.571428571428,1.218,118.0,353.0,northumberland today,both,,[nan],,Friday,9225.0,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,1584.0,ON,10809.0,sun media corporation,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,9225.0,1584.0,10809.0,Thursday,left_imperfect_match,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970731788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,9225.0,10809.0,1584.0,1.0,1.0,1.218,1.218,10809.0,10809.0,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
16,northumberland today.com,17659.777777777776,1.14,118.0,353.0,10.0,301.0,3.0,2015,2013.0,2.0,Friday,21618.0,1.218,118.0,353.0,northumberland today,both,,[nan],,Friday,,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,,ON,,,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,,,,Thursday,left_only,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970731788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.218,1.218,,,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
17,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Friday,,1.218,,353.0,northumberland today,both,,[nan],,Friday,,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,,ON,,,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,,,,Thursday,left_only,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970731788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.218,1.218,,,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
18,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Friday,,1.218,,353.0,northumberland today,both,,[nan],,Friday,,B,northumberland&cobourg&port%20hope&colborne,northumberland today,sun media corporation,,ON,,,"['northumberland ,ON, Canada', 'cobourg ,ON, Canada', 'port hope ,ON, Canada', 'colborne ,ON, Canada']","[(44.1096596, -77.9872929), (43.9595998, -78.1677784), (43.9515755, -78.2939704), (44.0050196, -77.8879789)]",northumberland today,,,,,1.0,northumberland cobourg port hope colborne,0.0,0.0,1,Alnwick/Haldimand,2013.0,0.0,,,,Thursday,left_only,321,235,1,1,1,1,0,0,0,0,0,0,0,"['Northumberland', 'Northumberland', 'Northumberland', 'Northumberland']",1,0,1,2209,3514024,35,ON,14,Northumberland,24,Alnwick/Haldimand,8.84922702143852,4.642465970731788,4.973279507552487,10.499132151734834,6.835184586147301,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.218,1.218,,,1.213,1.213,1.0,1.0,,,,,1.198,1.218,1.218,1.218,1.218,,,1.198,1.218,1.218,1.218,1.218,,,0.004000000000000028,0.004000000000000028,,,1
66,,,,,,,,,2013,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2013.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,35,ON,43,Simcoe,42,Barrie,11.860295249887681,4.6434288981051814,4.933754249760298,10.429132820900398,9.883284845218608,2,0.0,0.0,0.0,52243.0,52243.0,0.0,1.0,2.0,3.41,3.41,26121.5,26121.5,3.658,3.658,2.6,2.0,3.72,3.72,2.0,1.0,3.41,3.72,3.72,3.72,3.72,3.72,3.72,3.41,3.72,3.72,3.72,3.72,3.72,3.72,0.06200000000000014,0.06200000000000014,-4.440892098500626e-16,-4.440892098500626e-16,1
67,,,,,,,,,2014,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2014.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,35,ON,43,Simcoe,42,Barrie,11.860295249887681,4.6434288981051814,4.933754249760298,10.429132820900398,9.883284845218608,2,0.0,0.0,0.0,52434.0,52434.0,0.0,1.0,2.0,3.72,3.72,26217.0,26217.0,3.658,3.658,2.6,2.0,3.72,3.72,2.0,1.0,3.41,3.72,3.72,3.72,3.72,3.72,3.72,3.41,3.72,3.72,3.72,3.72,3.72,3.72,0.06200000000000014,0.06200000000000014,-4.440892098500626e-16,-4.440892098500626e-16,1
68,,,,,,,,,2015,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2015.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,35,ON,43,Simcoe,42,Barrie,11.860295249887681,4.6434288981051814,4.933754249760298,10.429132820900398,9.883284845218608,3,2500.0,2500.0,0.0,52317.0,52317.0,0.0,0.9543937099804805,2.0,3.72,3.72,20772.333333333332,26158.5,3.658,3.658,2.6,2.0,3.72,3.72,2.0,1.0,3.41,3.72,3.72,3.72,3.72,3.72,3.72,3.41,3.72,3.72,3.72,3.72,3.72,3.72,0.06200000000000014,0.06200000000000014,-4.440892098500626e-16,-4.440892098500626e-16,1
69,,,,,,,,,2016,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2016.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,34,ON,43,Simcoe,42,Barrie,11.860295249887681,4.6434288981051814,4.933754249760298,10.429132820900398,9.883284845218608,3,0.0,0.0,0.0,52759.0,52759.0,0.0,1.0,2.0,3.72,3.72,26379.5,26379.5,3.658,3.658,2.6,2.0,3.72,3.72,2.0,1.0,3.41,3.72,3.72,3.72,3.72,3.72,3.72,3.41,3.72,3.72,3.72,3.72,3.72,3.72,0.06200000000000014,0.06200000000000014,-4.440892098500626e-16,-4.440892098500626e-16,1
70,,,,,,,,,2017,,,,,,,,Barrie Examiner,,,[nan],,,0.0,,Barrie,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,1.0,1.0,1,Barrie,2017.0,0.0,0.0,0.0,0.0,,right_only,1,1,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2394,3543042,35,ON,43,Simcoe,42,Barrie,11.860295249887681,4.6434288981051814,4.933754249760298,10.429132820900398,9.883284845218608,3,0.0,0.0,0.0,52713.0,52713.0,0.0,1.0,2.0,3.72,3.72,26356.5,26356.5,3.658,3.658,2.6,2.0,3.72,3.72,2.0,1.0,3.41,3.72,3.72,3.72,3.72,3.72,3.72,3.41,3.72,3.72,3.72,3.72,3.72,3.72,0.06200000000000014,0.06200000000000014,-4.440892098500626e-16,-4.440892098500626e-16,1
