,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population percentage change, 2011 to 2016",Age & Sex / Both sexes / Average age of the pnpulation ; Both sexes,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",NofID2,MeanMarketRate
516,,,,,,,,,2013-01-01,,,,,,,,cfb borden citizen,,,[nan],,Friday,7200.0,T,cfb%20borden,citizen,department of national defence,0.0,ON,7200.0,department of national defence,"['cfb borden ,ON, Canada']","[(44.2716234, -79.9123591)]",citizen,,,,,0.0,cfb borden,0.0,0.0,0,Adjala-Tosorontio,2013.0,0.0,7200.0,0.0,7200.0,Friday,right_only,77,59,0,1,0,1,1,1,0,0,0,0,1,['Simcoe'],0,0,0,2383,3543003,35,ON,43,Simcoe,3,Adjala-Tosorontio,9.302466349965667,1.5040773967762742,3.754198920234579,10.567154427773565,7.241366283322318,1,
43,ajax pickering news advertiser,52723.0,4.52,335.0,1160.0,10.0,175.0,10.0,2013-01-01,2012.0,1.0,Thursday,52723.0,4.52,335.0,1160.0,ajax pickering news advertiser,both,,[nan],,Friday,52789.0,T,ajax&pickering,news advertiser,metroland media group ltd.,0.0,ON,52789.0,metroland media group ltd.,"['ajax ,ON, Canada', 'pickering ,ON, Canada']","[(43.8505287, -79.0208814), (43.835765, -79.090576)]",news advertiser,,,,,0.0,ajax pickering,0.0,0.0,0,Ajax,2013.0,0.0,53464.333333333336,0.0,53464.333333333336,Friday,right_imperfect_match,8,8,0,1,0,1,1,1,1,0,1,1,1,"['Durham', 'Durham']",0,1,1,2225,3518005,35,ON,18,Durham,5,Ajax,11.692560081838723,2.322387720290225,3.6454498961866,10.494269726418045,10.055822298839407,2,2.7299999999999995
2611,,,,,,,,,2015-01-01,,,,,,,,snap dufferin,,,[nan],,Monthly,10000.0,T,dufferin%20&orangeville,snap dufferin,snapd inc.,0.0,ON,10000.0,snapd inc.,"['dufferin  ,ON, Canada', 'orangeville ,ON, Can`da']","[(44.0497496, -80.1691941), (43.9193171, -80.0973754)]",,,,,,0.0,dufferin  orangeville,0.0,0.0,0,Amaranth,2015.0,0.0,10000.0,0.0,10000.0,Monthly,right_only,425,318,0,1,0,1,1,1,0,0,0,0,1,"['Dufferin', 'Dufferin']",0,0,0,2248,3522008,35,ON,22,Dufferin,8,Amaranth,8.313852267398207,1.3609765531356006,3.7232808808312687,10.475003678301348,6.111467339502679,1,
101,amherstburg river town times,8986.0,0.77,88.0,382.0,6.0,210.0,5.0,2013-01-01,2012.0,1.0,Wednesday,8986.0,0.77,88.0,382.0,amherstburg river town times,both,,[nan],,Wednesday,8985.0,T,amherstburg,river town times,river town times,0.0,ON,8985.0,river town times,"['amherstburg ,ON, Canada']","[(42.1013315, -83.1086458)]",river town times,,,,,0.0,amherstburg,0.0,0.0,0,Amherstburg,2013.0,0.0,8985.0,0.0,8985.0,Wednesday,perfect_match,14,11,0,1,0,1,1,1,1,0,1,1,1,['Essex'],0,0,0,2323,3537028,35,ON,37,Essex,28,Amherstburg,9.995929987925688,1.0296194171811581,3.768152635008444,10.584562151861805,7.989899374942939,1,0.77
122,arnprior chronicle guide,7607.0,0.06,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,7607.0,1.06,335.0,1160.0,arnprior chronicle guide,both,,[nan],,Thursday,7668.0,T,arnprior,arnprior chronicle guide,metroland media group ltd.,0.0,ON,7668.0,metroland media group ltd.,"['arnprior ,ON, Canada']","[(45.433515, -76.3543692)]",,,,,,0.0,arnprior,0.0,0.0,0,Arnprior,2013.0,0.0,7668.0,0.0,7668.0,Thursday,perfect_match,16,13,0,1,0,1,1,1,1,0,1,1,1,['Renfrew'],0,1,1,2416,3547002,35,ON,47,Renfrew,2,Arnprior,9.082052351674651,2.2407096892759584,3.8372994592322094,10.421685930631531,6.775366090936392,1,1.06
135,atikokan progress,1391.0,0.79,165.0,471.0,5.0,210.0,4.0,2013-01-01,2012.0,1.0,Monday,1391.0,0.79,165.0,471.0,atikokan progress,both,,[nan],,Monday,43.0,T,atikokan,atikokan progress,atikokan printing (1994) ltd.,1263.0,ON,1306.0,atikokan printing (1994) ltd.,"['atikokan ,ON, Canada']","[(48.762526, -91.624603)]",,,,,,0.0,atikokan,0.0,0.0,0,Atikokan,2013.0,0.0,43.0,1263.0,1306.0,Monday,perfect_match,19,15,1,1,1,1,1,1,1,1,1,1,1,['Rainy River'],0,0,0,2628,3559001,35,ON,59,Rainy River,1,Atikokan,7.9208096792886,,3.8543938925915096,10.411087980946425,5.351858133476067,1,0.79
142,,,,,,,,,2016-01-01,,,,,,,,aurora banner,,,[nan],,Sunday,58366.0,T,aurora,banner,metroland media group ltd.,0.0,ON,58366.0,metroland media group ltd.,"['aurora ,ON, Canada']","[(43.99973, -79.467545)]",,,,,,0.0,aurora,0.0,0.0,0,Aurora,2016.0,0.0,37156.0,0.0,37156.0,Sunday,right_only,20,16,0,1,0,1,0,0,0,0,0,0,0,['York'],0,1,1,2237,3519046,35,ON,19,York,46,Aurora,10.923164853116095,1.6486586255873816,3.703768066607687,10.606164183312202,9.658928824466434,5,1.4449999999999998
157,aylmer express,3516.0,0.75,118.0,294.0,8.0,294.0,2.0,2013-01-01,2012.0,1.0,Wednesday,3516.0,0.75,118.0,294.0,aylmer express,both,,[nan],,Wednesday,14.0,B,aylmer,aylmer express,aylmer express ltd.,3584.0,ON,3598.0,aylmer express ltd.,"['aylmer ,ON, Canada']","[(42.773227, -80.983658)]",,,,,,0.0,aylmer,0.0,0.0,0,Aylmer,2013.0,0.0,14.0,3584.0,3598.0,Wednesday,perfect_match,25,18,1,1,1,1,1,1,0,1,1,0,1,[&Elgin'],0,0,0,2311,3534011,35,ON,34,Elgin,11,Aylmer,8.92172453036431,1.7578579175523736,3.713572066704308,10.22694691636343,6.236369590203704,1,0.75
171,bancroft this week,7429.0,0.97,176.0,176.0,9.0,157.0,3.0,2013-01-01,2012.0,1.0,Friday,7429.0,0.97,176.0,176.0,bancroft this week,both,,[nan],,Friday,7850.0,T,bancroft,bancroft this week,sun media corporation,0.0,ON,7850.0,sun media corporation,"['bancroft ,ON, Canada']","[(45.0570769, -77.8537127)]",,,,,,0.0,bancroft,0.0,0.0,0,Bancroft,2013.0,0.0,7850.0,0.0,7850.0,Friday,perfect_match,27,20,0,1,0,1,1,1,0,0,1,0,1,['Hastings'],0,0,0,2200,3512061,35,ON,12,Hastings,61,Bancroft,8.264105763728956,0.0,3.9080149840306073,10.128269760518846,5.771441123130016,3,0.815
1008,grand bend lakeshore advance,1152.0,0.66,88.0,353.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,1152.0,0.66,88.0,353.0,grand bend zurich lakeshore advance,both,,[nan],,Wednesday,22.0,T,grand%20bend&zurich,lakeshore advance,sun media corporation,1119.0,ON,1141.0,sun media corporation,"['grand bend ,ON, Canada', 'zurich ,ON, Canada']","[(43.312689, -81.757507), (43.421133, -81.624703)]",,,,,,0.0,grand bend zurich,0.0,0.0,0,Bluewater,2013.0,0.0,22.0,1119.0,1141.0,Wednesday,perfect_match,162,119,1,1,1,1,1,1,0,0,1,0,1,"['Huron', 'Lambton']",1,0,1,2355,3540010,35,ON,40,Huron,10,Bluewater,8.873047798971067,0.8329091229351039,3.845883202923601,10.516671188955689,6.7226297948554485,1,0.66
