,CSD,Mean_Average_Difference_Adv,closest_CSD,Mean_Average_Difference_Adv_closest_CSD
0,Cramahe,0.0,Arnprior,0.0
1,Port Hope,0.0,Bracebridge,0.0
2,Cobourg,0.0,Brighton,0.0
3,Peterborough,0.0,Kawartha Lakes,0.0
4,Fort Erie,,Huntsville,0.0
5,Port Colborne,,Midland,0.0
6,Pelham,0.125,Scugog,0.0
7,Niagara-on-the-Lake,,Bracebridge,0.0
8,Bradford West Gwillimbury,0.0,Orangeville,0.0
9,Innisfil,0.0,Georgina,0.0
10,Collingwood,0.0,Huntsville,0.0
11,Barrie,0.0,Cambridge,0.011666666666666714
12,Orillia,0.0,Huntsville,0.0
